tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-11-10 22:11:56	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.1.4	373	273	K		u	164.7	209.7	l	36.1	2.5	3	-1
	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-11-10 22:11:56	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.1.4	573	473	K		u	11.1	22.7	l	-39.5	2.5	3	-1
	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-11-10 22:11:56	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.1.4	748	623	K		u	17.8	26.2	l	-46.2	3.2	5	-1
	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-11-10 22:11:56	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.1.4	373	273	K		u	164.7	344.7	l	50.2	2.5	3	0
	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-11-10 22:11:56	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.1.4	573	473	K		u	11.1	174.8	l	-51.6	2.5	3	0
	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-11-10 22:11:56	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.1.4	748	623	K		u	17.8	177.9	l	-44.8	3.2	5	0
	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-11-10 22:11:56	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.1.4	373	273	K		u	164.7	36.5	l	32.0	2.5	3	100
	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-11-10 22:11:56	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.1.4	573	473	K		u	11.1	220.6	l	-26.6	2.5	3	100
	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-11-10 22:11:56	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.1.4	748	623	K		u	17.8	214.8	l	-21.7	3.2	5	100
	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T	hargrave 2014-11-10 22:13:28	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.1.4	373	273	K		u	170.8	213.9	l	56.9	1.4	3	-1
	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T	hargrave 2014-11-10 22:13:28	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.1.4	573	473	K		u	4.6	38.3	l	-51.3	0.3	3	-1
	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T	hargrave 2014-11-10 22:13:28	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.1.4	748	623	K		u	9.2	43.3	l	-53.0	2.3	5	-1
	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T	hargrave 2014-11-10 22:13:28	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.1.4	373	273	K		u	170.8	14.7	l	70.4	1.4	3	0
	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T	hargrave 2014-11-10 22:13:28	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.1.4	573	473	K		u	4.6	181.0	l	-66.7	0.3	3	0
	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T	hargrave 2014-11-10 22:13:28	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.1.4	748	623	K		u	9.2	187.1	l	-64.3	2.3	5	0
	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T	hargrave 2014-11-10 22:13:28	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.1.4	373	273	K		u	170.8	63.9	l	26.4	1.4	3	100
	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T	hargrave 2014-11-10 22:13:28	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.1.4	573	473	K		u	4.6	237.7	l	-29.4	0.3	3	100
	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T	hargrave 2014-11-10 22:13:28	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.1.4	748	623	K		u	9.2	236.4	l	-26.1	2.3	5	100
	This study	unknown	Z35.3a	Z35	Z35.3a	Z35.3a:LP-DIR-T	hargrave 2014-11-10 22:15:06	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.1.4	373	273	K		u	174.4	35.2	l	67.8	5.4	3	-1
	This study	unknown	Z35.3a	Z35	Z35.3a	Z35.3a:LP-DIR-T	hargrave 2014-11-10 22:15:06	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.1.4	573	473	K		u	4.4	194.0	l	-71.3	1.2	3	-1
	This study	unknown	Z35.3a	Z35	Z35.3a	Z35.3a:LP-DIR-T	hargrave 2014-11-10 22:15:06	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.1.4	748	623	K		u	8.7	202.4	l	-72.2	2.0	5	-1
	This study	unknown	Z35.3a	Z35	Z35.3a	Z35.3a:LP-DIR-T	hargrave 2014-11-10 22:15:06	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.1.4	373	273	K		u	174.4	57.8	l	39.4	5.4	3	0
	This study	unknown	Z35.3a	Z35	Z35.3a	Z35.3a:LP-DIR-T	hargrave 2014-11-10 22:15:06	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.1.4	573	473	K		u	4.4	227.4	l	-40.7	1.2	3	0
