tab 	measurements																		
citations	dir_csd	dir_dec	dir_inc	experiment	location	magn_moment	meas_temp	measurement	method_codes	quality	sample	site	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	0.6	200.6	27.9	sr01e2-LP-DIR-AF	Snake River	2.93E-05	273	1	LT-NO : LP-DIR-AF	g	sr01e	sr01	sr01e2	u	0	0	0	0	273
This study	0.9	201	27.7	sr01e2-LP-DIR-AF	Snake River	2.83E-05	273	2	LT-AF-Z : LP-DIR-AF	g	sr01e	sr01	sr01e2	u	0.01	0	0	0	273
This study	0.9	200.5	27.4	sr01e2-LP-DIR-AF	Snake River	2.61E-05	273	3	LT-AF-Z : LP-DIR-AF	g	sr01e	sr01	sr01e2	u	0.02	0	0	0	273
This study	0.7	199.9	27.7	sr01e2-LP-DIR-AF	Snake River	2.37E-05	273	4	LT-AF-Z : LP-DIR-AF	g	sr01e	sr01	sr01e2	u	0.03	0	0	0	273
This study	1	202.5	27.9	sr01e2-LP-DIR-AF	Snake River	1.85E-05	273	5	LT-AF-Z : LP-DIR-AF	g	sr01e	sr01	sr01e2	u	0.06	0	0	0	273
This study	1	199.4	27.4	sr01e2-LP-DIR-AF	Snake River	1.54E-05	273	6	LT-AF-Z : LP-DIR-AF	g	sr01e	sr01	sr01e2	u	0.08	0	0	0	273
This study	1	200.3	27.9	sr01e2-LP-DIR-AF	Snake River	1.26E-05	273	7	LT-AF-Z : LP-DIR-AF	g	sr01e	sr01	sr01e2	u	0.1	0	0	0	273
This study	1	198.9	27.6	sr01e2-LP-DIR-AF	Snake River	1.05E-05	273	8	LT-AF-Z : LP-DIR-AF	g	sr01e	sr01	sr01e2	u	0.12	0	0	0	273
This study	1	201.6	27.9	sr01e2-LP-DIR-AF	Snake River	8.73E-06	273	9	LT-AF-Z : LP-DIR-AF	g	sr01e	sr01	sr01e2	u	0.14	0	0	0	273
This study	1	200.5	27.2	sr01e2-LP-DIR-AF	Snake River	7.63E-06	273	10	LT-AF-Z : LP-DIR-AF	g	sr01e	sr01	sr01e2	u	0.16	0	0	0	273
This study	1	202.3	27.7	sr01e2-LP-DIR-AF	Snake River	6.55E-06	273	11	LT-AF-Z : LP-DIR-AF	g	sr01e	sr01	sr01e2	u	0.18	0	0	0	273
This study	1.4	178.7	39.1	sr01g2-LP-DIR-AF	Snake River	2.28E-05	273	12	LT-NO : LP-DIR-AF	g	sr01g	sr01	sr01g2	u	0	0	0	0	273
This study	1.1	180.6	38.3	sr01g2-LP-DIR-AF	Snake River	2.18E-05	273	13	LT-AF-Z : LP-DIR-AF	g	sr01g	sr01	sr01g2	u	0.01	0	0	0	273
This study	1.7	177.9	38.2	sr01g2-LP-DIR-AF	Snake River	1.92E-05	273	14	LT-AF-Z : LP-DIR-AF	g	sr01g	sr01	sr01g2	u	0.02	0	0	0	273
This study	1.6	180	38.2	sr01g2-LP-DIR-AF	Snake River	1.64E-05	273	15	LT-AF-Z : LP-DIR-AF	g	sr01g	sr01	sr01g2	u	0.03	0	0	0	273
This study	1	179.8	38.5	sr01g2-LP-DIR-AF	Snake River	1.42E-05	273	16	LT-AF-Z : LP-DIR-AF	g	sr01g	sr01	sr01g2	u	0.04	0	0	0	273
This study	1	182.9	38.3	sr01g2-LP-DIR-AF	Snake River	1.14E-05	273	17	LT-AF-Z : LP-DIR-AF	g	sr01g	sr01	sr01g2	u	0.06	0	0	0	273
This study	1	183.1	38.2	sr01g2-LP-DIR-AF	Snake River	9.46E-06	273	18	LT-AF-Z : LP-DIR-AF	g	sr01g	sr01	sr01g2	u	0.08	0	0	0	273
This study	1	179.5	38.2	sr01g2-LP-DIR-AF	Snake River	7.97E-06	273	19	LT-AF-Z : LP-DIR-AF	g	sr01g	sr01	sr01g2	u	0.1	0	0	0	273
This study	1	181.5	38.3	sr01g2-LP-DIR-AF	Snake River	6.69E-06	273	20	LT-AF-Z : LP-DIR-AF	g	sr01g	sr01	sr01g2	u	0.12	0	0	0	273
This study	1	179.1	38.2	sr01g2-LP-DIR-AF	Snake River	5.67E-06	273	21	LT-AF-Z : LP-DIR-AF	g	sr01g	sr01	sr01g2	u	0.14	0	0	0	273
This study	1	180.1	38.5	sr01g2-LP-DIR-AF	Snake River	4.72E-06	273	22	LT-AF-Z : LP-DIR-AF	g	sr01g	sr01	sr01g2	u	0.16	0	0	0	273
This study	1	179.9	38.3	sr01g2-LP-DIR-AF	Snake River	4.20E-06	273	23	LT-AF-Z : LP-DIR-AF	g	sr01g	sr01	sr01g2	u	0.18	0	0	0	273
This study	1.3	173.9	26.3	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	4.07E-05	273	883	LT-NO : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	0	0	0	273
This study	1	170.6	26.7	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.94E-05	273	884	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	0	0	0	373
This study	2	171.8	27.8	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.99E-05	273	885	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	373
This study	0.4	173.4	26.7	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.91E-05	273	886	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	0	0	0	423
This study	1.4	170.3	28.7	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.96E-05	273	887	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	423
This study	0.4	171.1	26.9	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.87E-05	273	888	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	0	0	0	473
This study	1.1	171.6	28	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.90E-05	273	889	LT-PTRM-I : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	373
This study	1.7	170.9	29.7	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.93E-05	273	890	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	473
This study	0.7	170.6	26.9	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.80E-05	273	891	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	0	0	0	523
This study	1.7	172.3	30.6	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.88E-05	273	892	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	523
This study	1.2	170.5	27.4	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.63E-05	273	893	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	0	0	0	573
This study	1.3	171.5	29.8	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.71E-05	273	894	LT-PTRM-I : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	473
This study	1	171	32.2	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.75E-05	273	895	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	573
This study	0.8	172.1	27.5	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.40E-05	273	896	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	0	0	0	623
This study	1.1	170.7	35.1	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.60E-05	273	897	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	623
This study	1.3	171.4	27.7	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	2.88E-05	273	898	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	0	0	0	673
This study	1.7	178.1	34.1	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.11E-05	273	899	LT-PTRM-I : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	573
