tab	magic_measurements
er_specimen_name	er_sample_name	er_site_name	er_location_name	magic_experiment_name	measurement_number	treatment_ac_field	er_citation_names	measurement_inc	measurement_dec	treatment_dc_field	magic_software_packages	measurement_standard	magic_method_codes	treatment_dc_field_phi	measurement_description	treatment_temp	measurement_temp	measurement_magn_moment	magic_instrument_codes	measurement_sd_z	measurement_sd_y	measurement_sd_x	er_analyst_mail_names	treatment_dc_field_theta	measurement_flag	measurement_positions	measurement_csd
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	1	0	This study	-53.2	37.2	0	pmagpy-3.2.1		LT-NO:LP-DIR-T			273	273	3.93e-07		2.14e-09	8.63e-09	1.35e-08			g	1	2.3
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	2	0	This study	-50.9	36.7	0	pmagpy-3.2.1		LT-LT-Z:LP-DIR-T			77	273	4.29e-07		2.78e-09	7.51e-09	1.25e-08			g	1	2.0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	3	0	This study	-48.5	34.8	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			373.0	273	5.32e-07		3.42e-09	1.28e-08	1.65e-08			g	1	2.3
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	4	0	This study	-47.6	029.3	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			423.0	273	6.71e-07	hargrave 2014-10-22 15:53:24	1.04e-08	2.34e-08	2.39e-08			g	1	3.0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	5	0	This study	-47.3	028.6	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			473.0	273	6.55e-07	hargrave 2014-10-27 16:19:50	7.42e-09	1.31e-08	2.00e-08			g	1	2.2
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	6	0	This study	-49.3	028.5	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			523.0	273	5.27e-07	hargrave 2014-10-28 13:42:19	4.18e-09	2.17e-08	1.81e-08			g	1	3.1
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	7	0	This study	-52.8	034.0	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			573.0	273	3.81e-07	hargrave 2014-10-28 20:40:03	2.98e-09	1.36e-08	1.42e-08			g	1	3.0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	8	0	This study	-57.3	040.3	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			623.0	273	2.40e-07	hargrave 2014-10-29 20:53:02	1.87e-09	3.67e-09	7.58e-09			g	1	2.0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	9	0	This study	-58.4	043.8	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			673.0	273	1.97e-07	hargrave 2014-11-03 17:13:00	1.36e-09	5.83e-09	9.19e-09			g	1	3.2
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	10	0	This study	-59.9	046.8	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			698.0	273	1.78e-07	hargrave 2014-11-04 12:03:42	1.36e-09	2.86e-09	5.82e-09			g	1	2.1
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	11	0	This study	-61.0	049.9	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			723.0	273	1.64e-07	hargrave 2014-11-10 12:53:05	8.90e-10	3.62e-09	5.48e-09			g	1	2.3
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	12	0	This study	-63.2	053.3	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			748.0	273	1.52e-07	hargrave 2014-11-10 22:11:56	5.24e-10	2.88e-09	3.62e-09			g	1	1.7
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	13	0	This study	-64.0	059.3	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			773.0	273	1.41e-07	hargrave 2014-11-13 11:46:05	1.20e-09	3.57e-09	5.59e-09			g	1	2.7
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	14	0	This study	-65.4	064.8	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			788.0	273	1.33e-07	hargrave 2014-11-17 17:26:46	5.73e-10	1.35e-09	3.75e-09			g	1	1.7
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	15	0	This study	-66.0	065.5	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			803.0	273	1.29e-07	hargrave 2014-11-24 18:17:16	6.38e-10	8.48e-10	9.51e-10			g	1	0.5
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	16	0	This study	-66.2	069.9	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			818.0	273	1.28e-07	hargrave 2014-12-01 16:59:18	7.35e-10	7.81e-10	1.06e-09			g	1	0.5
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	17	0	This study	-66.0	069.3	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			823.0	273	1.23e-07	hargrave 2014-12-02 00:45:16	8.68e-10	1.01e-09	9.19e-10			g	1	0.6
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	18	0	This study	-66.3	075.0	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			828.0	273	1.18e-07	hargrave 2014-12-05 13:40:46	1.06e-09	9.15e-10	1.51e-09			g	1	0.8
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	19	0	This study	-66.7	072.8	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			833.0	273	1.14e-07	hargrave 2014-12-06 11:57:52	2.61e-10	8.36e-10	1.26e-09			g	1	0.7
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	20	0	This study	-66.9	080.1	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			838.0	273	1.10e-07	hargrave 2014-12-08 15:18:37	5.56e-10	6.62e-10	1.12e-09			g	1	0.6
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	21	0	This study	-66.2	078.7	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			843.0	273	1.08e-07	hargrave 2014-12-08 22:11:29	7.95e-10	7.31e-10	1.35e-09			g	1	0.8
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	22	0	This study	-67.5	084.0	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			846.0	273	1.05e-07	hargrave 2015-01-12 11:02:24	5.65e-10	1.00e-09	2.28e-09			g	1	1.4
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	23	0	This study	-66.7	081.2	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			849.0	273	1.03e-07	hargrave 2015-01-14 14:20:25	5.64e-10	1.08e-09	2.54e-09			g	1	1.5
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	24	0	This study	-67.4	085.7	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			852.0	273	1.01e-07	hargrave 2015-01-15 14:35:19	7.59e-10	1.24e-09	2.21e-09			g	1	1.4
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	25	0	This study	-67.5	089.6	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			855.0	273	1.02e-07	hargrave 2015-01-18 12:57:56	7.00e-10	6.58e-10	2.74e-09			g	1	1.6
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	26	0	This study	-66.4	087.5	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			858.0	273	9.91e-08	hargrave 2015-01-20 12:16:30	6.51e-10	7.64e-10	1.06e-09			g	1	0.7
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	27	0	This study	-67.4	088.4	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			863.0	273	9.79e-08	hargrave 2015-02-10 17:23:31	5.05e-10	1.22e-09	1.42e-09			g	1	1.0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	28	0	This study	-67.9	094.8	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			883.0	273	9.37e-08	hargrave 2015-02-11 17:21:10	4.10e-10	1.22e-09	1.19e-09			g	1	1.0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	29	0	This study	-67.2	102.3	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			903.0	273	8.44e-08	hargrave 2015-02-12 15:33:34	5.94e-10	1.15e-09	9.09e-10			g	1	0.9
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	30	0	This study	-66.6	108.1	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			923.0	273	7.68e-08	hargrave 2015-02-13 17:49:53	5.27e-10	6.64e-10	1.16e-09			g	1	1.0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	31	0	This study	-65.7	106.8	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			933.0	273	6.02e-08	hargrave 2015-02-17 11:25:45	3.30e-10	5.40e-10	7.58e-10			g	1	0.8
