tab 	pmag_specimens
direction_type	er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_Z	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_drat	specimen_drats	specimen_f	specimen_fvds	specimen_gamma	specimen_grade	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_md	specimen_q	specimen_rsc	specimen_tilt_correction
l	unknown	This study	169	0169x171111	0169x	0169x1711112	0169x1711112:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.141	8.230e+02	6.480e+02	K	-1.0	-0.293	0.047	0.014	u	0.7	81.1		l	14.8	19.9	0.592	0.559	2.4		-10.7	1.1740e-05	2.6	8	7	4.000e-05	-1	10.0	0.9869	-1
l	unknown	This study	169	0169x171111	0169x	0169x1711113	0169x1711113:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.141	8.230e+02	6.230e+02	K	-1.0	-0.314	0.052	0.016	u	2.2	25.8		l	14.8	14.2	0.572	0.598	1.5		-71.2	1.2555e-05	3.5	9	7	4.000e-05	-1	9.0	0.9809	-1
l	unknown	This study	169	0169x171121	0169x	0169x1711211	0169x1711211:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.141	8.230e+02	3.710e+02	K	-1.0	-0.156	0.033	0.005	u	6.4	348.2		l	17.7	14.7	0.842	0.666	2.5		31.3	6.2508e-06	7.5	19	7	4.000e-05	-1	23.0	0.9812	-1
l	unknown	This study	169	0169x171121	0169x	0169x1711214	0169x1711214:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.141	8.230e+02	3.710e+02	K	-1.0	-0.289	0.043	0.013	u	3.0	297.2		l	13.9	10.3	0.941	0.616	2.7		16.3	1.1564e-05	7.5	19	7	4.000e-05	-1	19.3	0.9681	-1
l	unknown	This study	205	0205x311p01	0205x	0205x311p011	0205x311p011:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.141	6.730e+02	4.730e+02	K	-1.0	-0.606	0.042	0.026	u	0.6	333.4		l	6.9	20.8	0.493	0.333	2.5		49.4	1.8191e-05	6.5	7	5	3.000e-05	-1	9.4	0.9910	-1
l	unknown	This study	205	0205x311p01	0205x	0205x311p012	0205x311p012:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.141	6.480e+02	4.730e+02	K	-1.0	-0.502	0.041	0.021	u	3.2	351.1		l	16.1	20.6	0.441	0.334	1.9		76.8	1.5060e-05	9.8	6	5	3.000e-05	-1	7.8	0.9932	-1
l	unknown	This study	205	0205x311p02	0205x	0205x311p021	0205x311p021:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.141	7.230e+02	4.730e+02	K	-1.0	-0.448	0.077	0.034	u	3.3	133.1		l	13.1	24.9	0.664	0.430	3.1		72.6	1.3443e-05	5.9	9	5	3.000e-05	-1	7.5	0.9594	-1
l	unknown	This study	205	0205x311p02	0205x	0205x311p022	0205x311p022:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.141	6.730e+02	4.730e+02	K	-1.0	-0.588	0.061	0.036	u	3.3	25.9		l	17.6	12.6	0.541	0.311	2.8		-39.3	1.7653e-05	9.6	7	5	3.000e-05	-1	7.2	0.9817	-1
l	unknown	This study	231	0231x641000	0231x	0231x6410001	0231x6410001:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.141	7.980e+02	5.730e+02	K	-1.0	-3.446	0.121	0.416	u	2.9	199.3		l	6.7	11.0	0.401	0.581	2.4		1.1	1.0337e-04	5.1	10	6	3.000e-05	-1	2.8	0.8868	-1
l	unknown	This study	231	0231x642000	0231x	0231x6420001	0231x6420001:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.141	7.230e+02	4.230e+02	K	-1.0	-1.024	0.075	0.077	u	16.9	39.0		l	6.6	3.1	0.924	0.403	1.1		69.9	3.0734e-05	6.2	10	7	3.000e-05	-1	9.2	0.9556	-1
