tab 	pmag_results
average_age	average_age_sigma	average_age_unit	average_int	average_int_n	average_int_sigma	average_int_sigma_perc	average_lat	average_lat_sigma	average_lon	average_lon_sigma	conglomerate_test	contact_test	data_type	er_citation_names	er_location_names	er_sample_names	er_site_names	er_specimen_names	fold_test	magic_method_codes	model_lat	pmag_criteria_codes	pmag_result_name	result_description	reversal_test	rock_magnetic_test	tilt_correction	vadm	vadm_n	vadm_sigma
148	2	Ma	1.052e-05	2	2.295e-06	21.82	11		174		ND	ND	i	This study : Tauxe & Yamazaki 2007	169	0169x171111 : 0169x171121	0169x	0169x1711112 : 0169x1711113 : 0169x1711211 : 0169x1711214	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	-27.9	IE-SITE	V[A]DM: Site 0169x	Site V [A] DM.	ND	ND		2.109e+22	2	4.601e+21
30.7	0.5	Ma	1.606e-05	2	7.778e-07	4.843	-25		178		ND	ND	i	This study : Tauxe & Yamazaki 2007	205	0205x311p01 : 0205x311p02	0205x	0205x311p011 : 0205x311p012 : 0205x311p021 : 0205x311p022	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	-36	IE-SITE	V[A]DM: Site 0205x	Site V [A] DM.	ND	ND		2.905e+22	2	1.407e+21
48	2	Ma	2.723e-05	2	3.748e-06	13.76	-60		281		ND	ND	i	This study : Tauxe & Yamazaki 2007	322	0322x12c000 : 0322x13c000	0322x	0322x12c0001 : 0322x12c0002 : 0322x13c0001 : 0322x13c0002	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	-62	IE-SITE	V[A]DM: Site 0322x	Site V [A] DM.	ND	ND		3.846e+22	2	5.294e+21
10.3	0.5	Ma	1.281e-05	6	2.288e-06	17.86	22.5		316.5		ND	ND	i	This study : Tauxe & Yamazaki 2007	396	0396b141028 : 0396b141p1b : 0396b143031 : 0396b151039 : 0396b261p01 : 0396b261p1b	0396b	0396b1410281 : 0396b1410282 : 0396b1410283 : 0396b1410284 : 0396b141p1b1 : 0396b1430313 : 0396b1430314 : 0396b1430315 : 0396b1510391 : 0396b1510392 : 0396b1510393 : 0396b261p011 : 0396b261p1b1	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	18	IE-SITE	V[A]DM: Site 0396b	Site V [A] DM.	ND	ND		2.915e+22	6	5.207e+21
33.3	0.1	Ma	2.931e-05	5	2.259e-06	7.708	64		329		ND	ND	i	This study : Tauxe & Yamazaki 2007	407	0407x462021 : 0407x463051 : 0407x464057 : 0407x473137 : 0407x474086	0407x	0407x4620211 : 0407x4630513 : 0407x4640571 : 0407x4640573 : 0407x4640575 : 0407x4731372 : 0407x4740861	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	54	IE-SITE	V[A]DM: Site 0407x	Site V [A] DM.	ND	ND		4.395e+22	5	3.387e+21
10.3	0.7	Ma	8.717e-06	6	4.126e-06	47.33	46		330		ND	ND	i	This study : Tauxe & Yamazaki 2007	410	0410a017004 : 0410a024081 : 0410a025013 : 0410a043026 : 0410a063045 : 0410a371106	0410a	0410a0170041 : 0410a0240812 : 0410a0250131 : 0410a0430263 : 0410a0630452 : 0410a3711062	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	41	IE-SITE	V[A]DM: Site 0410a	Site V [A] DM.	ND	ND		1.486e+22	6	7.035e+21
121	1	Ma	1.048e-05	6	4.298e-06	41.03	25		292		ND	ND	i	This study : Tauxe & Yamazaki 2007	417	0417d022p2a : 0417d022p2b : 0417d022p2d : 0417d022p2e : 0417d022p4a : 0417d022p4c	0417d	0417d022p2a1 : 0417d022p2a4 : 0417d022p2b1 : 0417d022p2b4 : 0417d022p2d2 : 0417d022p2d4 : 0417d022p2e1 : 0417d022p2e3 : 0417d022p4a1 : 0417d022p4c3 : 0417d022p4c4	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	20	IE-SITE	V[A]DM: Site 0417d	Site V [A] DM.	ND	ND		2.327e+22	6	9.545e+21
121	1	Ma	1.313e-05	2	2.546e-06	19.39	25		292		ND	ND	i	This study : Tauxe & Yamazaki 2007	418	0418a035p2b : 0418a035p2c	0418a	0418a035p2b5 : 0418a035p2c2	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	20	IE-SITE	V[A]DM: Site 0418a	Site V [A] DM.	ND	ND		2.916e+22	2	5.653e+21
3.4	0.2	Ma	1.604e-05	2	5.091e-07	3.174	9		254		ND	ND	i	This study : Tauxe & Yamazaki 2007	420	0420x141000 : 0420x171000	0420x	0420x1410001 : 0420x1410002 : 0420x1710001	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	9	IE-SITE	V[A]DM: Site 0420x	Site V [A] DM.	ND	ND		3.996e+22	2	1.268e+21
15.2	0.5	Ma	3.498e-05	3	4.718e-06	13.49	29		242		ND	ND	i	This study : Tauxe & Yamazaki 2007	470	0470a081091 : 0470a085075 : 0470a131039	0470a	0470a0810911 : 0470a0850751 : 0470a0850752 : 0470a0850753 : 0470a0850754 : 0470a1310392 : 0470a1310393 : 0470a1310394	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT:IE-MLAT-PR	29	IE-SITE	V[A]DM: Site 0470a	Site V [A] DM.	ND	ND		6.914e+22	3	9.326e+21
