tab	pmag_specimens
er_specimen_name	er_sample_name	er_site_name	er_location_name	er_analyst_mail_names	er_citation_names	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_gamma	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_mad	specimen_md	specimen_n	specimen_q	specimen_rsc	specimen_tilt_correction
mc01a	mc01a	mc01	McMurdo	Lisa Tauxe	This study	mc01a-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	823	423	K		-0.337	0.078	0.026		u	8.5	186.5	l	3.4	0.847	0.844	3	44	0.000013481	4.9	10	5	0.00004		-1		9.5	0.9523	-1
mc01b	mc01b	mc01	McMurdo	Lisa Tauxe	This study	mc01b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	798	373	K		-0.346	0.068	0.024		u	4.3	163.3	l	7.9	0.849	0.689	8.3	32.3	0.00001385	1.9	10	4	0.00004		-1		10.9	0.9628	-1
mc01c	mc01c	mc01	McMurdo	Lisa Tauxe	This study	mc01c-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	723	K					A	u		258.5	l					77.3						1.6		4			0
mc01d	mc01d	mc01	McMurdo	Lisa Tauxe	This study	mc01d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	798	373	K		-0.468	0.032	0.015		u	7.6	171.6	l	1.8	0.815	0.741	2.3	15.8	0.000018708	4.8	10	5	0.00004		-1		21.9	0.992	-1
mc01e	mc01e	mc01	McMurdo	Lisa Tauxe	This study	mc01e-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	723	K					A	u		279.4	l					78.8						1.3		4			0
mc01f	mc01f	mc01	McMurdo	Lisa Tauxe	This study	mc01f-LP-DIR-AF		LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0	T					A	u		220.7	l					82.4						1.3		16			0
mc01g	mc01g	mc01	McMurdo	Lisa Tauxe	This study	mc01g-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	523	373	K		-0.503	0.019	0.01		u	4.1	178.1	l	1.7	0.629	0.592	10.2	12.9	0.000020125	1.7	4	5	0.00004		-1		21	0.9993	-1
mc01h	mc01h	mc01	McMurdo	Lisa Tauxe	This study	mc01h-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	523	K					A	u		249.0	l					80.1						1.2		8			0
mc02a	mc02a	mc02	McMurdo	Lisa Tauxe	This study	mc02a-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		326.0	l					-80.9						1.4		11			0
mc02b	mc02b	mc02	McMurdo	Lisa Tauxe	This study	mc02b-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	623	K					A	u		348.0	l					-79.1						1		6			0
mc02c	mc02c	mc02	McMurdo	Lisa Tauxe	This study	mc02c-LP-DIR-AF		LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.12	0.03	T					A	u		333.3	l					-81.8						0.5		6			0
mc02f	mc02f	mc02	McMurdo	Lisa Tauxe	This study	mc02f-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	573	373	K		-0.419	0.144	0.06		u	1.8	9.6	l	11.7	0.603	0.468	1.7	-42.3	0.000016748	1.5	5	5	0.00004		-1		3.1	0.939	-1
mc02g	mc02g	mc02	McMurdo	Lisa Tauxe	This study	mc02g-LP-DIR-AF		LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		318.4	l					-80						0.8		15			0
mc02h	mc02h	mc02	McMurdo	Lisa Tauxe	This study	mc02h-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		323.3	l					-78						2.1		10			0
