tab	sites
analysts	citations	location	samples	site	specimens	magic_instrument_codes	method_codes	software_packages	criteria	dir_alpha95	geologic_classes	dir_comp_name	dir_dec	site_definition	description	height	dir_inc	age	age_sigma	age_unit	int_abs	int_n_samples	int_abs_sigma	int_abs_sigma_perc	dir_k	lat	lithologies	lon	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_types
	This study	McMurdo		mc01							Not Specified			s												-77.85000	Not Specified	166.64							Not Specified
Lisa Tauxe	This study	McMurdo	mc01h:mc01b:mc01c:mc01a:mc01f:mc01g:mc01d:mc01e	mc01	mc01h:mc01b:mc01c:mc01a:mc01f:mc01g:mc01d:mc01e		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC									1.18	0.005	Ma	0.00001654	4	0.000003374	20.4											
	This study	McMurdo		mc02							Not Specified			s												-77.85000	Not Specified	166.69							Not Specified
Lisa Tauxe	This study	McMurdo	mc02g:mc02f:mc02e:mc02d:mc02c:mc02b:mc02a:mc02h	mc02	mc02g:mc02f:mc02e:mc02c:mc02b:mc02a:mc02h		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.1		A	328.6		Direction included in Pmag_Results.		-80	0.33	0.01	Ma					1079.2				6	5	1	n	5.9958	0	
	This study	McMurdo		mc03							Not Specified			s												-77.84000	Not Specified	166.76							Not Specified
Lisa Tauxe	This study	McMurdo	mc03a:mc03b:mc03c:mc03d:mc03e:mc03f:mc03g:mc03h	mc03	mc03a:mc03b:mc03c:mc03d:mc03f:mc03h		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.3		A	352.0		Direction included in Pmag_Results.		-82.7	0.348	0.004	Ma					864.7				6	6	0	n	5.9942	0	
	This study	McMurdo		mc04							Not Specified			s												-77.84000	Not Specified	166.7							Not Specified
Lisa Tauxe	This study	McMurdo	mc04e:mc04d:mc04g:mc04f:mc04a:mc04c:mc04b:mc04h	mc04	mc04e:mc04g:mc04f:mc04a:mc04c-1:mc04b:mc04h		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.6		A	352.1		Direction included in Pmag_Results.		-86.8	0.34	0.003	Ma					292.3				5	4	1	n	4.988	0	
	This study	McMurdo		mc06							Not Specified			s												-77.83000	Not Specified	166.67							Not Specified
Lisa Tauxe	This study	McMurdo	mc06c:mc06b:mc06a:mc06g:mc06f:mc06e:mc06d:mc06h	mc06	mc06c:mc06a:mc06g:mc06d:mc06h		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.8		A	13.6		Direction included in Pmag_Results.		-78.8	4	4	Ma					254.4				5	5	0	n	4.9843	0	
	This study	McMurdo		mc07							Not Specified			s												-77.80000	Not Specified	166.72							Not Specified
Lisa Tauxe	This study	McMurdo	mc07h:mc07d:mc07e:mc07f:mc07g:mc07a:mc07b:mc07c	mc07	mc07d:mc07e:mc07f:mc07b:mc07c		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.2		A	156.9		Direction included in Pmag_Results.		-69.1	4	4	Ma					555.9				5	5	0	n	4.9928	0	
	This study	McMurdo		mc08							Not Specified			s												-77.80000	Not Specified	166.83							Not Specified
Lisa Tauxe	This study	McMurdo	mc08a:mc08c:mc08b:mc08e:mc08d:mc08g:mc08f:mc08h	mc08	mc08a:mc08c:mc08b:mc08e:mc08d:mc08g:mc08f:mc08h		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			0.65	0.025	Ma	0.00004336	3	0.000001508	3.479											
Lisa Tauxe	This study	McMurdo	mc09b:mc09c:mc09a:mc09f:mc09g:mc09d:mc09e:mc09h	mc09	mc09b:mc09c:mc09a:mc09f:mc09g:mc09d:mc09e:mc09h		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			0.074	0.0075	Ma	0.0000271	3	0.000001007	3.715											
	This study	McMurdo		mc09							Not Specified			s												-77.55000	Not Specified	166.2							Not Specified
Lisa Tauxe	This study	McMurdo	mc10a:mc10b:mc10c:mc10d:mc10e:mc10f:mc10g:mc10h	mc10	mc10a:mc10b:mc10c:mc10d:mc10e:mc10f:mc10g:mc10h		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC									4	4	Ma	0.00003737	1	0	0											
	This study	McMurdo		mc10							Not Specified			s												-77.57000	Not Specified	166.23							Not Specified
Lisa Tauxe	This study	McMurdo	mc100i:mc100h:mc100j:mc100a:mc100c:mc100b:mc100e:mc100d:mc100g:mc100f	mc100	mc100h2:mc100a1:mc100e1:mc100e2:mc100d1:mc100g2:mc100g1:mc100f2		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.6		A	9.9		Direction included in Pmag_Results.		-76.6	0.86	0.115	Ma					582.7				7	5	2	n	6.9914	0	
	This study	McMurdo		mc100							Not Specified			s												-78.30200	Not Specified	162.9							Not Specified
