tab	er_ages
er_specimen_name	er_sample_name	er_site_name	er_location_name	er_citation_names	magic_method_codes	age_unit	age	age_description	age_sigma
		mc01	McMurdo	Tauxe et al. 2004	GM-ARAR-AP	Ma	1.18	Excellent flat spectrum.	0.005
		mc02	McMurdo	Tauxe et al. 2004	GM-ARAR-AP	Ma	0.33	Reasonably flat, some recoil, climbs ar high T, but decent data. .	0.01
		mc03	McMurdo	Tauxe et al. 2004	GM-ARAR-AP	Ma	0.348	Excellent flat spectrum for 70%, then climbs abruptly at high T as K/Ca drops. .	0.004
		mc04	McMurdo	Tauxe et al. 2004	GM-ARAR-AP	Ma	0.34	Excellent flat spectrum with concordant WMPA and IA.	0.003
		mc08	McMurdo	Tauxe et al. 2004	GM-ARAR-AP	Ma	0.65	Somewhat U-shaped spectrum with OK plateau in middle.	0.025
		mc09	McMurdo	Tauxe et al. 2004	GM-ARAR-AP	Ma	0.074	2 good plateaus - 1@ low T and 1@ hi T. Assign average age.	0.0075
		mc100	McMurdo	This study	GM-ARAR-AP	Ma	0.86		0.115
		mc101	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	1.065		0.004
		mc102	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	0.264		0.01
		mc103	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	1.421		0.015
		mc104	McMurdo	This study	GM-ARAR-AP	Ma	0.29		0.01
		mc105	McMurdo	Armstrong 1978	GM-KAR	Ma	0.86		0.035
		mc106	McMurdo	This study	GM-ARAR-AP	Ma	13.42		0.09
		mc107	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	2.57		0.19
		mc108	McMurdo	This study	GM-ARAR-AP	Ma	0.41		0.07
		mc109	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	1.261		0.02
		mc110	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	7.94		0.12
		mc111	McMurdo	This study	GM-ARAR-AP	Ma	1.99		0.02
		mc112	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	7.63		0.16
		mc113	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	6.73		0.085
		mc114	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	1.62		0.14
		mc115	McMurdo	This study	GM-ARAR-AP	Ma	2.46		0.155
		mc116	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	1.14		0.055
		mc117	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	2.28		0.12
		mc118	McMurdo	This study	GM-ARAR-AP	Ma	0.31		0.02
		mc119	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	1.08		0.11
		mc120	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	1.756		0.025
		mc121	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	2.505		0.03
		mc122	McMurdo	This study	GM-ARAR-AP	Ma	12.699		0.045
		mc123	McMurdo	This study	GM-ARAR-AP	Ma	1.93		0.025
		mc124	McMurdo	This study	GM-ARAR-AP	Ma	12.61		0.055
		mc125	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	4.26		0.09
		mc127	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	1.942		0.034
		mc13	McMurdo	Tauxe et al. 2004	GM-ARAR-AP	Ma	0.055	Reasonably flat spectrum w/ small high T plateau.	0.005
		mc130	McMurdo	This study	GM-ARAR-AP	Ma	7.251		0.035
		mc134	McMurdo	This study	GM-ARAR-AP	Ma	9.02		0.025
		mc136	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	1.99		0.3
		mc138	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	1.21		0.09
		mc139	McMurdo	This study	GM-ARAR-AP	Ma	0.882		0.04
		mc140	McMurdo	This study	GM-ARAR-AP	Ma	2.043		0.045
		mc141	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	1.31		0.01
		mc142	McMurdo	This study	GM-ARAR-AP	Ma	1.225		0.01
		mc143	McMurdo	This study	GM-ARAR-AP	Ma	2.08		0.329
		mc144	McMurdo	This study	GM-NO	Ma	1.25	educated guess based on location.	0.5
		mc145	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	1.9		0.06
		mc146	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	1.37		0.21
		mc147	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	1.63		0.16
		mc148	McMurdo	Wilch 1991	GM-ARAR-AP	Ma	0.718		0.33
		mc15	McMurdo	Tauxe et al. 2004	GM-ARAR-AP	Ma	1.33	Excellent flat spectrum w/ concordant WMPA and IA.	0.01
		mc150	McMurdo	Wilch et al. 1993	GM-ARAR-AP	Ma	3.57		0.07
