tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	measurement_csd	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.7	257.6	g	-8.8	2.01e-09	1	u	273	0	0	0	90	273
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.7	255.7	g	-8.1	1.98e-09	1	u	273	0	4e-05	0	90	373
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	256.7	g	-8	2.02e-09	1	u	273	0	0	0	90	373
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.5	256.7	g	-6.5	2.01e-09	1	u	273	0	4e-05	0	90	423
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	257	g	-11.2	2.01e-09	1	u	273	0	0	0	90	423
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.5	257	g	-9.1	1.94e-09	1	u	273	0	0	0	90	473
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.5	255.9	g	-6.9	1.93e-09	1	u	273	0	4e-05	0	90	373
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	256.6	g	-2.1	1.92e-09	1	u	273	0	4e-05	0	90	473
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-PTRM-MD:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.7	256.8	g	-9.2	1.93e-09	1	u	273	0	0	0	90	473
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	255.8	g	1.6	1.88e-09	1	u	273	0	4e-05	0	90	498
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	257.6	g	-9.6	1.91e-09	1	u	273	0	0	0	90	498
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.7	253.2	g	-11	1.8e-09	1	u	273	0	0	0	90	523
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.7	252.9	g	-2.9	1.8e-09	1	u	273	0	4e-05	0	90	473
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.7	250.7	g	4.8	1.77e-09	1	u	273	0	4e-05	0	90	523
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-PTRM-MD:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	250.2	g	-11.1	1.77e-09	1	u	273	0	0	0	90	523
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	249	g	15.3	1.79e-09	1	u	273	0	4e-05	0	90	548
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	247.8	g	-10.2	1.72e-09	1	u	273	0	0	0	90	548
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	251.6	g	-10.7	1.63e-09	1	u	273	0	0	0	90	573
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	250.8	g	6.9	1.62e-09	1	u	273	0	4e-05	0	90	523
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.7	249.9	g	28.1	1.86e-09	1	u	273	0	4e-05	0	90	573
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-PTRM-MD:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	249.7	g	-10.5	1.62e-09	1	u	273	0	0	0	90	573
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.7	248.2	g	44.4	2.08e-09	1	u	273	0	4e-05	0	90	598
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.5	248.7	g	-10.1	1.5e-09	1	u	273	0	0	0	90	598
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.5	249	g	-11.9	1.36e-09	1	u	273	0	0	0	90	623
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	247.8	g	33	1.65e-09	1	u	273	0	4e-05	0	90	573
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.7	246.1	g	55.4	2.57e-09	1	u	273	0	4e-05	0	90	623
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-PTRM-MD:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.5	246.2	g	-10	1.38e-09	1	u	273	0	0	0	90	623
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.7	243.4	g	65	3.09e-09	1	u	273	0	4e-05	0	90	648
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	242.8	g	-5	1.23e-09	1	u	273	0	0	0	90	648
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.5	243	g	-8.8	1.1e-09	1	u	273	0	0	0	90	673
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.7	243.6	g	60.6	2.43e-09	1	u	273	0	4e-05	0	90	623
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	245.7	g	71.4	3.6e-09	1	u	273	0	4e-05	0	90	673
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-PTRM-MD:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	241.9	g	0.4	1.11e-09	1	u	273	0	0	0	90	673
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.7	238.7	g	76.9	4.3e-09	1	u	273	0	4e-05	0	90	698
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.6	240.4	g	3.1	9.41e-10	1	u	273	0	0	0	90	698
This study	238	0238x601104	0238x	0238x6011043	0238x6011043:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	0.4	238.2	g	-4.9	7.49e-10	1	u	273	0	0	0	90	723
