tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_mad	specimen_md	specimen_n	specimen_q	specimen_rsc	specimen_tilt_correction
This study	Snake River	sr01a	sr01	sr01a1	sr01a1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	573	K	-1.036	0.091	0.094	u	1.1	170.7	Recalculated from original measurements; supercedes published results.	l	18.7	0.788	0.694	27.3	4.144e-05	2	7	5	4e-05		-1		6.7	0.9591	-1
This study	Snake River	sr01a	sr01	sr01a2	sr01a2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT	848	573	K	-0.985	0.073	0.072	u	0.2	172.3	Recalculated from original measurements; supercedes published results.	l	15.6	0.91	0.86	30.1	3.939e-05	0.5	8	5	4e-05		3		10.4	0.9686	-1
This study	Snake River	sr01c	sr01	sr01c2	sr01c2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	673	K	-0.792	0.039	0.031	u	1.1	159.9	Recalculated from original measurements; supercedes published results.	l	0.2	0.639	0.542	26.2	3.167e-05	1.3	5	5	4e-05		-1		11.5	0.9954	-1
This study	Snake River	sr01d	sr01	sr01d1	sr01d1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	373	K	-0.932	0.047	0.044	u	0.6	187.5	Recalculated from original measurements; supercedes published results.	l	7.7	0.821	0.783	38.3	3.727e-05	1.5	11	6	4e-05		-1		14.2	0.9802	-1
This study	Snake River	sr01i	sr01	sr01i1	sr01i1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	373	K	-0.766	0.087	0.067	u	2	205.5	Recalculated from original measurements; supercedes published results.	l	11.5	0.691	0.613	52.2	3.066e-05	3.9	9	5	4e-05		-1		6.6	0.9474	-1
This study	Snake River	sr03a	sr03	sr03a1	sr03a1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	673	373	K	-0.793	0.14	0.111	u	11.9	38.1	Recalculated from original measurements; supercedes published results.	l	2.9	0.174	0.163	-36.2	3.172e-05	19	6	4	4e-05		-1		0.9	0.9235	-1
This study	Snake River	sr03b	sr03	sr03b1	sr03b1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-0.447	0.276	0.124	u	28	41.6	Recalculated from original measurements; supercedes published results.	l	20.6	0.379	0.354	-48.7	1.79e-05	8.4	7	5	4e-05		-1		1.1	0.6554	-1
This study	Snake River	sr03c	sr03	sr03c1	sr03c1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	423	K	-0.559	0.168	0.094	u	17.3	27	Recalculated from original measurements; supercedes published results.	l	0.9	0.137	0.121	-46.2	2.235e-05	26.3	6	5	4e-05		-1		0.6	0.8899	-1
This study	Snake River	sr03e	sr03	sr03e1	sr03e1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	423	K	-1.051	0.068	0.072	u	3.9	20.8	Recalculated from original measurements; supercedes published results.	l	5.8	0.353	0.368	-33.5	4.202e-05	9.2	6	5	4e-05		-1		4	0.9815	-1
This study	Snake River	sr09f	sr09	sr09f1	sr09f1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	573	373	K	-0.851	0.022	0.019	u	3.6	196.7	Recalculated from original measurements; supercedes published results.	l	16.2	0.684	0.614	10.8	3.404e-05	1	5	3	4e-05		-1		21.1	0.9986	-1
