tab 	pmag_results
antipodal	average_age	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_inc	average_int	average_int_n	average_int_sigma	average_k	average_lat	average_lat_sigma	average_lon	average_lon_sigma	average_n	average_nn	average_r	conglomerate_test	contact_test	data_type	er_citation_names	er_location_names	er_site_names	er_specimen_names	fold_test	magic_method_codes	percent_reversed	pmag_criteria_codes	pmag_result_name	result_description	reversal_test	rock_magnetic_test	tilt_correction	vadm	vadm_sigma	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
	3.4	0.03	Ma	2.3	330.1	64.9	3.61e-05	5	1.32e-05	572.7	42.6026		245.602		8	8	7.9878	ND	ND	i	This study	Snake River	sr01	sr01a1 : sr01a2 : sr01c2 : sr01d1 : sr01e2 : sr01f2 : sr01g2 : sr01i1	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM-ZI		DE-SITE	sr01	Site VGP.	ND	ND	0	6.05e+23	8e+22		4	2.7	68.5	177.3	8
	1	1	Ma	3	151.8	-57.5				408.8	42.6035		245.599		7	7	6.9853	ND	ND	i	This study	Snake River	sr03	sr03a1 : sr03c1 : sr03e1 : sr03f1 : sr03g1 : sr03h2 : sr03k1	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr03	Site VGP.	ND	ND	0				4.1	3.6	-68.2	333.3	7
	2	0.05	Ma	4.3	16.5	54.6				313.1	42.601		245.596		5	5	4.9872	ND	ND	i	This study	Snake River	sr04	sr04d2 : sr04e1 : sr04f2 : sr04g1 : sr04h3	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr04	Site VGP.	ND	ND	0				5.5	5.1	75.2	0.4	5
	0.095	0.05	Ma	3	14.6	77.9				407.3	42.7366		245.165		7	7	6.9865	ND	ND	i	This study	Snake River	sr09	sr09b2 : sr09c3 : sr09e2 : sr09f1 : sr09f2 : sr09g1 : sr09i1	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr09	Site VGP.	ND	ND	0				10.5	3.6	64.7	258.6	7
	0.395	0.01	Ma	3	346.3	73.8				428.4	42.8418		245.112		7	7	6.9883	ND	ND	i	This study	Snake River	sr11	sr11a1 : sr11b1 : sr11c1 : sr11e2 : sr11f1 : sr11g2 : sr11i1	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr11	Site VGP.	ND	ND	0				7.9	3.6	71.1	223.6	7
	0.373	0.06	Ma	5.1	15.3	44.8				227.8	42.8657		245.127		5	5	4.9824	ND	ND	i	This study	Snake River	sr12	sr12a3 : sr12b1 : sr12c1 : sr12e1 : sr12h1	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr12	Site VGP.	ND	ND	0				5.3	6.1	69.3	23	5
	0.404	0.07	Ma	4	347.4	65.6				228.8	42.9203		244.923		7	7	6.9738	ND	ND	i	This study	Snake River	sr16	sr16a1 : sr16b1 : sr16c1 : sr16d1 : sr16e1 : sr16f1 : sr16g2	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr16	Site VGP.	ND	ND	0				7.1	4.8	79.9	188.1	7
	1.76	0.016	Ma	2.6	172.5	-66.9				892.1	42.4996		245.851		5	5	4.9955	ND	ND	i	This study	Snake River	sr21	sr21b2 : sr21d1 : sr21g2 : sr21h1 : sr21j2	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr21	Site VGP.	ND	ND	0				4.9	3.1	-81.3	32	5
	2.26	0.05	Ma	3.3	6.3	29.7				333.8	42.5		245.85		7	7	6.9835	ND	ND	i	This study	Snake River	sr22	sr22a1 : sr22b2 : sr22d3 : sr22e1 : sr22f1 : sr22g1 : sr22i2	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr22	Site VGP.	ND	ND	0				2.8	3.9	62.9	52.5	7
	1.69	0.02	Ma	2.5	14.5	45.5				970.1	42.5287		245.979		5	5	4.9964	ND	ND	i	This study	Snake River	sr23	sr23a1 : sr23b2 : sr23d3 : sr23f1 : sr23g1	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr23	Site VGP.	ND	ND	0				2.6	3	70.5	24.1	5
