tab 	magic_methods
er_citation_names	magic_method_code	method_definition	method_description	method_iaga7	method_type	method_url_tauxe
Hext 1963	AE-H	Hext estimation of anisotropy parameters			Anisotropy Estimation	
Selkin et al. 2000	DA-AC-AARM	Anisotropy correction: Tensor of AARM			Data Adjustment	
	DA-DIR-GEO	Direction correction: Adjusted for sample orientation			Data Adjustment	
Kirschvink 1980	DE-BFL	Best fit line			Direction Estimation	http://earthref.org/MAGIC/books/Tauxe/2005/lecture.09.htm#DE-BFL
Kirschvink 1980	DE-BFP	Best fit plane			Direction Estimation	http://earthref.org/MAGIC/books/Tauxe/2005/lecture.09.htm#DE-BFL
Cox & Doell 1960	DE-DI	Pole latitude and longitude calculation from mean declination-inclination		Ptype D	Direction Estimation	
Fisher 1953	DE-FM	Fisher mean			Direction Estimation	
McFadden & McElhinny 1988	DE-FM-LP	Fisher mean: Line and planes			Direction Estimation	
Cox & Doell 1960	DE-VGP	Pole latitude and longitude calculation from mean VGP		Ptype V	Direction Estimation	
	DE-VM	Vector mean, including magnitude of vector, rather than just Fisher mean unit vectors			Direction Estimation	
Collinson 1983	FS-FD	Field drilling using a hand-held portable drill			Field Sampling	http://earthref.org/MAGIC/books/Tauxe/2005/lecture.09.htm#FS-FD
	FS-LOC-GPS	Location determination: Latitude and longitude by GPS measurement			Field Sampling	
	GM-ARAR-AP	40Ar/39Ar age determination: Age plateau			Geochronology Method	
	GM-KAR	40K-40Ar age determination			Geochronology Method	
	GM-NO	Unknown geochronology method			Geochronology Method	
Coe 1967	IE-TT	Best-fit slope through TT data			Intensity Estimation	http://earthref.org/MAGIC/books/Tauxe/2005/lecture.10.htm#PE-TT
McCabe et al. 1985	LP-AN-ARM	Anisotropy measurement: ARM acquisition	Measure of anisotropy of anhysteretic susceptibility (AAS) via ARM acquisition (AARM). A fully demagnetized specimen is subject to ARM in three to fifteen (tensor) directions while being demagnetized after each of the ARM steps in the direction of the next ARM.		Lab Protocol	
Jackson et al. 1990	LP-BCR-HDM	Coercivity of remanence: Half delta M	Field at which difference between ascending and descending hysteresis loops is half the magnitude of the zero field crossings.		Lab Protocol	
