tab 	pmag_sites
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_names	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_int	site_int_n	site_int_sigma	site_int_sigma_perc	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
Lisa Tauxe	This study	McMurdo		mc01	mc01a : mc01b : mc01c : mc01d : mc01e : mc01f : mc01h	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.2	A	258.6	Direction included in Pmag_Results.	78.6	1.18	0.005	Ma					215.9	7	6	1	r	6.9745	0
Lisa Tauxe	This study	McMurdo		mc02	mc02a : mc02b : mc02c : mc02f : mc02g : mc02h	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.1	A	328.6	Direction included in Pmag_Results.	-80	0.33	0.01	Ma					1079.2	6	5	1	n	5.9958	0
Lisa Tauxe	This study	McMurdo		mc03	mc03a : mc03b : mc03c : mc03d : mc03f : mc03h	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.3	A	352	Direction included in Pmag_Results.	-82.7	0.348	0.004	Ma					864.7	6	6	0	n	5.9942	0
Lisa Tauxe	This study	McMurdo		mc04	mc04a : mc04b : mc04e : mc04f : mc04g	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.6	A	352.1	Direction included in Pmag_Results.	-86.8	0.34	0.003	Ma					292.3	5	4	1	n	4.988	0
Lisa Tauxe	This study	McMurdo		mc06	mc06a : mc06c : mc06d : mc06g : mc06h	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.8	A	13.6	Direction included in Pmag_Results.	-78.8	4	4	Ma					254.4	5	5	0	n	4.9843	0
Lisa Tauxe	This study	McMurdo		mc07	mc07b : mc07c : mc07d : mc07e : mc07f	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.2	A	156.9	Direction included in Pmag_Results.	-69.1	4	4	Ma					555.9	5	5	0	n	4.9928	0
Lisa Tauxe	This study	McMurdo		mc08	mc08a : mc08b : mc08c : mc08d : mc08e : mc08f : mc08g : mc08h	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.7	A	38.5	Direction included in Pmag_Results.	-78.3	0.65	0.025	Ma					429.5	8	8	0	n	7.9837	0
Lisa Tauxe	This study	McMurdo		mc09	mc09a : mc09b : mc09c : mc09d : mc09e : mc09f : mc09g : mc09h	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.6	A	259.9	Direction included in Pmag_Results.	-82.7	0.074	0.0075	Ma					234.2	8	8	0	n	7.9701	0
Lisa Tauxe	This study	McMurdo		mc10	mc10a : mc10b : mc10c : mc10d : mc10e : mc10f : mc10g : mc10h	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.1	A	335.3	Direction included in Pmag_Results.	-78.6	4	4	Ma					184.5	8	8	0	n	7.9621	0
Lisa Tauxe	This study	McMurdo		mc100	mc100a1 : mc100d1 : mc100e1 : mc100e2 : mc100f2 : mc100g1 : mc100h2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.6	A	9.9	Direction included in Pmag_Results.	-76.6	0.86	0.115	Ma					582.7	7	5	2	n	6.9914	0
