tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	location	magn_moment	meas_temp	method_codes	quality	sample	site	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		0.3	198.6	-40.9	bg2.01:LP-AN-ARM		Bushveld	1.500e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	0.000e+00	0	0	1	2.730e+02
	This study		0.2	321.3	3.0	bg2.01:LP-AN-ARM		Bushveld	1.840e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	5.000e-05	315.0	0.0	2	2.730e+02
	This study		0.1	314.6	-0.1	bg2.01:LP-AN-ARM		Bushveld	4.858e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	0.000e+00	0	0	3	2.730e+02
	This study		0.2	237.5	-5.3	bg2.01:LP-AN-ARM		Bushveld	2.160e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	5.000e-05	225.0	0.0	4	2.730e+02
	This study		0.2	262.3	-6.4	bg2.01:LP-AN-ARM		Bushveld	6.515e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	0.000e+00	0	0	5	2.730e+02
	This study		0.1	200.9	-7.4	bg2.01:LP-AN-ARM		Bushveld	2.290e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	5.000e-05	180.0	0.0	6	2.730e+02
	This study		0.2	205.7	-15.3	bg2.01:LP-AN-ARM		Bushveld	7.913e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	0.000e+00	0	0	7	2.730e+02
	This study		0.3	133.5	-55.6	bg2.01:LP-AN-ARM		Bushveld	2.335e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	5.000e-05	90.0	-45.0	8	2.730e+02
	This study		0.2	127.4	-46.4	bg2.01:LP-AN-ARM		Bushveld	6.485e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	0.000e+00	0	0	9	2.730e+02
	This study		0.4	248.3	-60.6	bg2.01:LP-AN-ARM		Bushveld	2.482e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	5.000e-05	270.0	-45.0	10	2.730e+02
	This study		0.4	199.7	-69.3	bg2.01:LP-AN-ARM		Bushveld	8.918e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	0.000e+00	0	0	11	2.730e+02
	This study		0.2	259.6	-21.1	bg2.01:LP-AN-ARM		Bushveld	2.238e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	5.000e-05	270.0	0.0	12	2.730e+02
	This study		0.3	248.6	-21.5	bg2.01:LP-AN-ARM		Bushveld	8.349e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	0.000e+00	0	0	13	2.730e+02
	This study		0.1	204.0	31.8	bg2.01:LP-AN-ARM		Bushveld	2.037e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	5.000e-05	180.0	45.0	14	2.730e+02
	This study		0.2	213.2	26.1	bg2.01:LP-AN-ARM		Bushveld	5.390e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	0.000e+00	0	0	15	2.730e+02
	This study		0.2	193.5	-35.5	bg2.01:LP-AN-ARM		Bushveld	2.661e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	5.000e-05	180.0	-45.0	16	2.730e+02
	This study		0.1	202.3	-10.0	bg2.01:LP-AN-ARM		Bushveld	7.232e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	0.000e+00	0	0	17	2.730e+02
	This study		0.4	205.1	-68.4	bg2.01:LP-AN-ARM		Bushveld	2.596e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.01	bg2	pmagpy-3.9.1-5	bg2.01	u	1.800e-01	5.000e-05	0.0	-90.0	18	2.730e+02
	This study		0.1	205.9	-7.8	bg2.03:LP-AN-ARM		Bushveld	1.691e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.03	bg2	pmagpy-3.9.1-5	bg2.03	u	1.800e-01	0.000e+00	0	0	1	2.730e+02
	This study		0.2	310.5	6.9	bg2.03:LP-AN-ARM		Bushveld	1.636e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.03	bg2	pmagpy-3.9.1-5	bg2.03	u	1.800e-01	5.000e-05	315.0	0.0	2	2.730e+02
	This study		0.2	307.1	8.5	bg2.03:LP-AN-ARM		Bushveld	5.031e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.03	bg2	pmagpy-3.9.1-5	bg2.03	u	1.800e-01	0.000e+00	0	0	3	2.730e+02
	This study		0.2	237.9	-1.3	bg2.03:LP-AN-ARM		Bushveld	1.960e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.03	bg2	pmagpy-3.9.1-5	bg2.03	u	1.800e-01	5.000e-05	225.0	0.0	4	2.730e+02
	This study		0.2	261.7	-2.5	bg2.03:LP-AN-ARM		Bushveld	5.831e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.03	bg2	pmagpy-3.9.1-5	bg2.03	u	1.800e-01	0.000e+00	0	0	5	2.730e+02
	This study		0.2	198.8	-6.1	bg2.03:LP-AN-ARM		Bushveld	2.019e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.03	bg2	pmagpy-3.9.1-5	bg2.03	u	1.800e-01	5.000e-05	180.0	0.0	6	2.730e+02
	This study		0.2	201.8	-14.5	bg2.03:LP-AN-ARM		Bushveld	6.648e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.03	bg2	pmagpy-3.9.1-5	bg2.03	u	1.800e-01	0.000e+00	0	0	7	2.730e+02
	This study		0.4	123.9	-50.8	bg2.03:LP-AN-ARM		Bushveld	1.928e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.03	bg2	pmagpy-3.9.1-5	bg2.03	u	1.800e-01	5.000e-05	90.0	-45.0	8	2.730e+02
	This study		0.3	124.2	-43.9	bg2.03:LP-AN-ARM		Bushveld	5.687e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.03	bg2	pmagpy-3.9.1-5	bg2.03	u	1.800e-01	0.000e+00	0	0	9	2.730e+02
	This study		0.3	244.0	-56.9	bg2.03:LP-AN-ARM		Bushveld	2.061e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.03	bg2	pmagpy-3.9.1-5	bg2.03	u	1.800e-01	5.000e-05	270.0	-45.0	10	2.730e+02
	This study		0.4	198.4	-63.3	bg2.03:LP-AN-ARM		Bushveld	6.486e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.03	bg2	pmagpy-3.9.1-5	bg2.03	u	1.800e-01	0.000e+00	0	0	11	2.730e+02
	This study		0.2	257.1	-14.5	bg2.03:LP-AN-ARM		Bushveld	1.990e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.03	bg2	pmagpy-3.9.1-5	bg2.03	u	1.800e-01	5.000e-05	270.0	0.0	12	2.730e+02
	This study		0.2	254.1	-16.6	bg2.03:LP-AN-ARM		Bushveld	7.193e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.03	bg2	pmagpy-3.9.1-5	bg2.03	u	1.800e-01	0.000e+00	0	0	13	2.730e+02
	This study		0.2	208.2	33.2	bg2.03:LP-AN-ARM		Bushveld	1.721e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.03	bg2	pmagpy-3.9.1-5	bg2.03	u	1.800e-01	5.000e-05	180.0	45.0	14	2.730e+02
