tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM	SIO-flo	LT-IRM:LP-IRM	pmagpy-3.4.0	0.6	2012:04:09:18:48:00.00	226.8		g	81.9	1.874e-05	1	4	u	2.730e+02	SAN	0	1.500e-02	0.0	90.0	2.730e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM	SIO-flo	LT-IRM:LP-IRM	pmagpy-3.4.0	0.6	2012:04:09:18:49:00.00	215.2		g	87.5	2.865e-05	2	4	u	2.730e+02	SAN	0	2.300e-02	0.0	90.0	2.730e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM	SIO-flo	LT-IRM:LP-IRM	pmagpy-3.4.0	1.4	2012:04:09:18:50:00.00	149.3		g	86.2	3.419e-05	3	4	u	2.730e+02	SAN	0	3.000e-02	0.0	90.0	2.730e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM	SIO-flo	LT-IRM:LP-IRM	pmagpy-3.4.0	1.5	2012:04:09:18:51:00.00	126.5		g	86.7	4.110e-05	4	4	u	2.730e+02	SAN	0	4.500e-02	0.0	90.0	2.730e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM	SIO-flo	LT-IRM:LP-IRM	pmagpy-3.4.0	0.8	2012:04:09:18:52:00.00	241.8		g	88.4	4.448e-05	5	4	u	2.730e+02	SAN	0	5.900e-02	0.0	90.0	2.730e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM	SIO-flo	LT-IRM:LP-IRM	pmagpy-3.4.0	0.9	2012:04:09:18:54:00.00	240.3		g	86.0	4.659e-05	6	4	u	2.730e+02	SAN	0	7.400e-02	0.0	90.0	2.730e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM	SIO-flo	LT-IRM:LP-IRM	pmagpy-3.4.0	0.9	2012:04:09:18:55:00.00	107.3		g	86.8	4.751e-05	7	4	u	2.730e+02	SAN	0	8.800e-02	0.0	90.0	2.730e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM	SIO-flo	LT-IRM:LP-IRM	pmagpy-3.4.0	1.3	2012:04:09:18:57:00.00	107.6		g	84.4	4.876e-05	8	4	u	2.730e+02	SAN	0	1.470e-01	0.0	90.0	2.730e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM	SIO-flo	LT-IRM:LP-IRM	pmagpy-3.4.0	1.2	2012:04:09:18:58:00.00	119.1		g	85.9	4.917e-05	9	4	u	2.730e+02	SAN	0	2.200e-01	0.0	90.0	2.730e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM	SIO-flo	LT-IRM:LP-IRM	pmagpy-3.4.0	1.6	2012:04:09:18:59:00.00	152.5		g	88.1	4.925e-05	10	4	u	2.730e+02	SAN	0	2.930e-01	0.0	90.0	2.730e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM	SIO-flo	LT-IRM:LP-IRM	pmagpy-3.4.0	0.9	2012:04:09:19:00:00.00	259.4		g	82.7	4.921e-05	11	4	u	2.730e+02	SAN	0	3.510e-01	0.0	90.0	2.730e+02
Saiko	This study	U1359A	318-U1359A-002H-2-W-135	318-U1359A-002H-2-W-135	318-U1359A-002H-2-W-135		318-U1359A-002H-2-W-135:LP-IRM	SIO-flo	LT-IRM:LP-IRM	pmagpy-3.4.0	0.2	2012:04:11:15:14:00.00	223.7		g	81.1	1.412e-05	1	4	u	2.730e+02	SAN	0	1.500e-02	0.0	90.0	2.730e+02
Saiko	This study	U1359A	318-U1359A-002H-2-W-135	318-U1359A-002H-2-W-135	318-U1359A-002H-2-W-135		318-U1359A-002H-2-W-135:LP-IRM	SIO-flo	LT-IRM:LP-IRM	pmagpy-3.4.0	0.2	2012:04:11:15:17:00.00	155.5		g	88.2	2.125e-05	2	4	u	2.730e+02	SAN	0	2.300e-02	0.0	90.0	2.730e+02
Saiko	This study	U1359A	318-U1359A-002H-2-W-135	318-U1359A-002H-2-W-135	318-U1359A-002H-2-W-135		318-U1359A-002H-2-W-135:LP-IRM	SIO-flo	LT-IRM:LP-IRM	pmagpy-3.4.0	0.2	2012:04:11:15:19:00.00	94.4		g	84.5	2.576e-05	3	4	u	2.730e+02	SAN	0	3.000e-02	0.0	90.0	2.730e+02
