tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_expedition_name	er_formation_name	er_fossil_name	er_location_name	er_member_name	er_mineral_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_charging_mode	measurement_chi_mass	measurement_chi_qdr_mass	measurement_chi_qdr_volume	measurement_chi_volume	measurement_composite_depth	measurement_core_depth	measurement_csd	measurement_date	measurement_dec	measurement_demagn_code	measurement_description	measurement_elevation	measurement_flag	measurement_freq	measurement_height	measurement_inc	measurement_lab_field_ac	measurement_lab_field_dc	measurement_loop_n	measurement_loop_x	measurement_magn_mass	measurement_magn_moment	measurement_magn_volume	measurement_magnitude	measurement_number	measurement_orient_phi	measurement_orient_theta	measurement_pos_x	measurement_pos_y	measurement_pos_z	measurement_positions	measurement_r2	measurement_sd	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_sweep_rate	measurement_temp	measurement_temp_change	measurement_time_zone	treatment_ac_field	treatment_ac_field_dc_off	treatment_ac_field_dc_on	treatment_ac_field_decay_rate	treatment_dc_field	treatment_dc_field_ac_off	treatment_dc_field_ac_on	treatment_dc_field_decay_rate	treatment_dc_field_phi	treatment_dc_field_theta	treatment_mw_energy	treatment_mw_integral	treatment_mw_power	treatment_mw_time	treatment_temp	treatment_temp_dc_off	treatment_temp_dc_on	treatment_temp_decay_rate
	This study	318			U1359A			318-U1359A-011H-6-W-44	318-U1359A-011H-6-W-44	318-U1359A-011H-6-W-44		318-U1359A-011H-6-W-44-LP-DIR-AF		LT-AF-Z:DE-VM:LP-DIR-AF	pmagpy-2.111								77	2010:02:13:16:43:26.25	280.1		average of multiple measurements.		g			-65.1						0.00000000426			1						3			0	0	0	u		273			0.01				0				0	0					273			
	This study	318			U1359A			318-U1359A-011H-6-W-44	318-U1359A-011H-6-W-44	318-U1359A-011H-6-W-44		318-U1359A-011H-6-W-44-LP-DIR-AF		LT-AF-Z:DE-VM:LP-DIR-AF	pmagpy-2.111								77.7	2010:02:13:17:05:40.54	300.1		average of multiple measurements.		g			-75.2						0.00000000389			2						3			0	0	0	u		273			0.015				0				0	0					273			
	This study	318			U1359A			318-U1359A-011H-6-W-44	318-U1359A-011H-6-W-44	318-U1359A-011H-6-W-44		318-U1359A-011H-6-W-44-LP-DIR-AF		LT-AF-Z:DE-VM:LP-DIR-AF	pmagpy-2.111								83	2010:02:13:17:26:17.96	314.2		average of multiple measurements.		g			-81.6						0.00000000243			3						3			0	0	0	u		273			0.02				0				0	0					273			
	This study	318			U1359A			318-U1359A-011H-6-W-44	318-U1359A-011H-6-W-44	318-U1359A-011H-6-W-44		318-U1359A-011H-6-W-44-LP-DIR-AF		LT-AF-Z:DE-VM:LP-DIR-AF	pmagpy-2.111								41.2	2010:02:13:17:58:40.03	124.2		average of multiple measurements.		g			-80.5						0.00000000341			4						3			0	0	0	u		273			0.03				0				0	0					273			
	This study	318			U1359A			318-U1359A-011H-6-W-44	318-U1359A-011H-6-W-44	318-U1359A-011H-6-W-44		318-U1359A-011H-6-W-44-LP-DIR-AF		LT-AF-Z:DE-VM:LP-DIR-AF	pmagpy-2.111								76.9	2010:02:13:18:36:46.46	120.7		average of multiple measurements.		g			13.1						0.000000000998			5						3			0	0	0	u		273			0.04				0				0	0					273			
	This study	318			U1359A			318-U1359A-011H-6-W-44	318-U1359A-011H-6-W-44	318-U1359A-011H-6-W-44		318-U1359A-011H-6-W-44-LP-DIR-AF		LT-AF-Z:DE-VM:LP-DIR-AF	pmagpy-2.111								48.3	2010:02:13:19:16:35.64	116.5		average of multiple measurements.		g			45.5						0.00000000159			6						3			0	0	0	u		273			0.05				0				0	0					273			
	This study	318			U1359A			318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104		318-U1359A-012H-1-W-104-LP-DIR-AF		LT-NO:DE-VM:LP-DIR-AF	pmagpy-2.111								10.1	2010:02:13:21:33:50.48	213.2		average of multiple measurements.		g			65.2						0.00000000259			1						3			0	0	0	u		273			0				0				0	0					273			
	This study	318			U1359A			318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104		318-U1359A-012H-1-W-104-LP-DIR-AF		LT-AF-Z:DE-VM:LP-DIR-AF	pmagpy-2.111								11.2	2010:02:13:22:34:28.93	253.9		average of multiple measurements.		g			61.5						0.00000000151			2						3			0	0	0	u		273			0.005				0				0	0					273			
	This study	318			U1359A			318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104		318-U1359A-012H-1-W-104-LP-DIR-AF		LT-AF-Z:DE-VM:LP-DIR-AF	pmagpy-2.111								5.1	2010:02:14:00:09:03.93	271.8		average of multiple measurements.		g			58.5						0.00000000114			3						3			0	0	0	u		273			0.01				0				0	0					273			
	This study	318			U1359A			318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104		318-U1359A-012H-1-W-104-LP-DIR-AF		LT-AF-Z:DE-VM:LP-DIR-AF	pmagpy-2.111								6.2	2010:02:14:03:23:55.98	272.1		average of multiple measurements.		g			55.6						0.00000000109			4						3			0	0	0	u		273			0.015				0				0	0					273			
	This study	318			U1359A			318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104		318-U1359A-012H-1-W-104-LP-DIR-AF		LT-AF-Z:DE-VM:LP-DIR-AF	pmagpy-2.111								4.7	2010:02:14:04:14:47.65	269.6		average of multiple measurements.		g			58.5						0.000000000955			5						3			0	0	0	u		273			0.02				0				0	0					273			
	This study	318			U1359A			318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104		318-U1359A-012H-1-W-104-LP-DIR-AF		LT-AF-Z:DE-VM:LP-DIR-AF	pmagpy-2.111								7	2010:02:14:05:02:52.76	273.7		average of multiple measurements.		g			58.8						0.000000000967			6						3			0	0	0	u		273			0.03				0				0	0					273			
	This study	318			U1359A			318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104		318-U1359A-012H-1-W-104-LP-DIR-AF		LT-AF-Z:DE-VM:LP-DIR-AF	pmagpy-2.111								1.9	2010:02:14:05:47:47.23	265.8		average of multiple measurements.		g			62						0.000000000884			7						2			0	0	0	u		273			0.04				0				0	0					273			
	This study	318			U1359A			318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104	318-U1359A-012H-1-W-104		318-U1359A-012H-1-W-104-LP-DIR-AF		LT-AF-Z:DE-VM:LP-DIR-AF	pmagpy-2.111								5.9	2010:02:14:07:27:12.23	261.4		average of multiple measurements.		g			61.6						0.000000000672			8						3			0	0	0	u		273			0.05				0				0	0					273			
	This study	318			U1359A			318-U1359A-012H-3-W-50	318-U1359A-012H-3-W-50	318-U1359A-012H-3-W-50		318-U1359A-012H-3-W-50-LP-DIR-AF		LT-NO:DE-VM:LP-DIR-AF	pmagpy-2.111								70.1	2010:02:17:13:34:53.79	339.9		average of multiple measurements.		g			-60						0.0000000272			1						3			0	0	0	u		273			0				0				0	0					273			
	This study	318			U1359A			318-U1359A-012H-3-W-50	318-U1359A-012H-3-W-50	318-U1359A-012H-3-W-50		318-U1359A-012H-3-W-50-LP-DIR-AF		LT-AF-Z:DE-VM:LP-DIR-AF	pmagpy-2.111								67.8	2010:02:17:14:30:14.20	337.2		average of multiple measurements.		g			-51.2						0.0000000232			2						3			0	0	0	u		273			0.005				0				0	0					273			
	This study	318			U1359A			318-U1359A-012H-3-W-50	318-U1359A-012H-3-W-50	318-U1359A-012H-3-W-50		318-U1359A-012H-3-W-50-LP-DIR-AF		LT-AF-Z:DE-VM:LP-DIR-AF	pmagpy-2.111								14.2	2010:02:17:15:02:28.48	26.1		average of multiple measurements.		g			-72.9						0.0000000377			3						2			0	0	0	u		273			0.01				0				0	0					273			
