tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	method_codes	quality	sequence	standard	meas_temp	description	software_packages	magn_moment
is031c2:LP-DIR-AF0	is031c2:LP-DIR-AF	is031c2	0	163.9	17.5	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	0	u	2.730e+02		pmagpy-4.0.0	 4.616e-05
is031c2:LP-DIR-AF1	is031c2:LP-DIR-AF	is031c2	0	164.1	17.4	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	1	u	2.730e+02		pmagpy-4.0.0	 4.570e-05
is031c2:LP-DIR-AF2	is031c2:LP-DIR-AF	is031c2	0	163.8	17.4	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	2	u	2.730e+02		pmagpy-4.0.0	 4.494e-05
is031c2:LP-DIR-AF3	is031c2:LP-DIR-AF	is031c2	0	163.6	17.4	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	3	u	2.730e+02		pmagpy-4.0.0	 4.424e-05
is031c2:LP-DIR-AF4	is031c2:LP-DIR-AF	is031c2	0	163.5	17.4	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	4	u	2.730e+02		pmagpy-4.0.0	 4.337e-05
is031c2:LP-DIR-AF5	is031c2:LP-DIR-AF	is031c2	0	163.9	17.5	1.250e-02	0	0	0	5	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	5	u	2.730e+02		pmagpy-4.0.0	 4.253e-05
is031c2:LP-DIR-AF6	is031c2:LP-DIR-AF	is031c2	0	163.8	17.7	1.500e-02	0	0	0	6	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	6	u	2.730e+02		pmagpy-4.0.0	 4.168e-05
is031c2:LP-DIR-AF7	is031c2:LP-DIR-AF	is031c2	0	163.6	17.5	2.000e-02	0	0	0	7	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	7	u	2.730e+02		pmagpy-4.0.0	 3.990e-05
is031c2:LP-DIR-AF8	is031c2:LP-DIR-AF	is031c2	0	163.9	17.8	2.500e-02	0	0	0	8	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	8	u	2.730e+02		pmagpy-4.0.0	 3.765e-05
is031c2:LP-DIR-AF9	is031c2:LP-DIR-AF	is031c2	0	163.9	17.8	3.000e-02	0	0	0	9	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	9	u	2.730e+02		pmagpy-4.0.0	 3.519e-05
is031c2:LP-DIR-AF10	is031c2:LP-DIR-AF	is031c2	0	164.3	18.0	4.000e-02	0	0	0	10	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	10	u	2.730e+02		pmagpy-4.0.0	 2.943e-05
is031c2:LP-DIR-AF11	is031c2:LP-DIR-AF	is031c2	0	163.9	18.2	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	11	u	2.730e+02		pmagpy-4.0.0	 2.035e-05
is031c2:LP-DIR-AF12	is031c2:LP-DIR-AF	is031c2	0	164.2	17.9	8.000e-02	0	0	0	12	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	12	u	2.730e+02		pmagpy-4.0.0	 1.467e-05
is031c2:LP-DIR-AF13	is031c2:LP-DIR-AF	is031c2	0	163.2	18.0	1.000e-01	0	0	0	13	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	13	u	2.730e+02		pmagpy-4.0.0	 8.353e-06
is031c2:LP-DIR-AF14	is031c2:LP-DIR-AF	is031c2	0	163.0	17.6	1.200e-01	0	0	0	14	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	14	u	2.730e+02		pmagpy-4.0.0	 6.798e-06
is031c2:LP-DIR-AF15	is031c2:LP-DIR-AF	is031c2	0	162.7	17.0	1.500e-01	0	0	0	15	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	15	u	2.730e+02		pmagpy-4.0.0	 5.441e-06
is031c2:LP-DIR-AF16	is031c2:LP-DIR-AF	is031c2	2	161.5	17.3	1.800e-01	0	0	0	16	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	16	u	2.730e+02		pmagpy-4.0.0	 4.488e-06
is031d2:LP-DIR-AF0	is031d2:LP-DIR-AF	is031d2	0	155.4	18.3	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	17	u	2.730e+02		pmagpy-4.0.0	 2.073e-05
is031d2:LP-DIR-AF1	is031d2:LP-DIR-AF	is031d2	1	157.1	18.2	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	18	u	2.730e+02		pmagpy-4.0.0	 1.984e-05
is031d2:LP-DIR-AF2	is031d2:LP-DIR-AF	is031d2	1	158.8	18.3	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	19	u	2.730e+02		pmagpy-4.0.0	 1.823e-05
is031d2:LP-DIR-AF3	is031d2:LP-DIR-AF	is031d2	1	159.0	18.4	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	20	u	2.730e+02		pmagpy-4.0.0	 1.675e-05
is031d2:LP-DIR-AF4	is031d2:LP-DIR-AF	is031d2	0	159.3	18.6	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	21	u	2.730e+02		pmagpy-4.0.0	 1.523e-05
is031d2:LP-DIR-AF5	is031d2:LP-DIR-AF	is031d2	1	159.8	18.6	1.250e-02	0	0	0	5	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	22	u	2.730e+02		pmagpy-4.0.0	 1.376e-05
is031d2:LP-DIR-AF6	is031d2:LP-DIR-AF	is031d2	0	159.9	18.8	1.500e-02	0	0	0	6	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	23	u	2.730e+02		pmagpy-4.0.0	 1.259e-05
is031d2:LP-DIR-AF7	is031d2:LP-DIR-AF	is031d2	0	160.3	18.9	2.000e-02	0	0	0	7	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	24	u	2.730e+02		pmagpy-4.0.0	 1.098e-05
is031d2:LP-DIR-AF8	is031d2:LP-DIR-AF	is031d2	1	159.2	19.2	2.500e-02	0	0	0	8	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	25	u	2.730e+02		pmagpy-4.0.0	 9.709e-06
is031d2:LP-DIR-AF9	is031d2:LP-DIR-AF	is031d2	1	160.0	19.0	3.000e-02	0	0	0	9	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	26	u	2.730e+02		pmagpy-4.0.0	 8.727e-06
is031d2:LP-DIR-AF10	is031d2:LP-DIR-AF	is031d2	0	160.1	19.8	4.000e-02	0	0	0	10	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	27	u	2.730e+02		pmagpy-4.0.0	 7.328e-06
is031d2:LP-DIR-AF11	is031d2:LP-DIR-AF	is031d2	0	160.0	19.5	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	28	u	2.730e+02		pmagpy-4.0.0	 5.636e-06
is031d2:LP-DIR-AF12	is031d2:LP-DIR-AF	is031d2	0	159.6	19.4	8.000e-02	0	0	0	12	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	29	u	2.730e+02		pmagpy-4.0.0	 3.419e-06
is031d2:LP-DIR-AF13	is031d2:LP-DIR-AF	is031d2	0	159.4	19.2	1.000e-01	0	0	0	13	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	30	u	2.730e+02		pmagpy-4.0.0	 2.729e-06
is031d2:LP-DIR-AF14	is031d2:LP-DIR-AF	is031d2	0	160.7	18.6	1.200e-01	0	0	0	14	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	31	u	2.730e+02		pmagpy-4.0.0	 2.151e-06
is031d2:LP-DIR-AF15	is031d2:LP-DIR-AF	is031d2	2	160.8	16.4	1.500e-01	0	0	0	15	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	32	u	2.730e+02		pmagpy-4.0.0	 1.637e-06
is031e2:LP-DIR-AF0	is031e2:LP-DIR-AF	is031e2	1	164.0	21.8	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	33	u	2.730e+02		pmagpy-4.0.0	 4.489e-05
is031e2:LP-DIR-AF1	is031e2:LP-DIR-AF	is031e2	1	163.3	22.7	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	34	u	2.730e+02		pmagpy-4.0.0	 4.164e-05
is031e2:LP-DIR-AF2	is031e2:LP-DIR-AF	is031e2	1	162.1	22.5	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	35	u	2.730e+02		pmagpy-4.0.0	 3.748e-05
is031e2:LP-DIR-AF3	is031e2:LP-DIR-AF	is031e2	1	162.2	23.0	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	36	u	2.730e+02		pmagpy-4.0.0	 3.389e-05
is031e2:LP-DIR-AF4	is031e2:LP-DIR-AF	is031e2	1	162.5	23.1	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	37	u	2.730e+02		pmagpy-4.0.0	 3.009e-05
is031e2:LP-DIR-AF5	is031e2:LP-DIR-AF	is031e2	0	162.4	23.6	1.250e-02	0	0	0	5	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	38	u	2.730e+02		pmagpy-4.0.0	 2.738e-05
is031e2:LP-DIR-AF6	is031e2:LP-DIR-AF	is031e2	0	161.5	23.9	1.500e-02	0	0	0	6	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	39	u	2.730e+02		pmagpy-4.0.0	 2.492e-05
is031e2:LP-DIR-AF7	is031e2:LP-DIR-AF	is031e2	0	161.9	24.1	2.000e-02	0	0	0	7	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	40	u	2.730e+02		pmagpy-4.0.0	 2.178e-05
is031e2:LP-DIR-AF8	is031e2:LP-DIR-AF	is031e2	0	161.8	24.0	2.500e-02	0	0	0	8	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	41	u	2.730e+02		pmagpy-4.0.0	 1.947e-05
is031e2:LP-DIR-AF9	is031e2:LP-DIR-AF	is031e2	0	162.5	25.0	3.000e-02	0	0	0	9	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	42	u	2.730e+02		pmagpy-4.0.0	 1.758e-05
is031e2:LP-DIR-AF10	is031e2:LP-DIR-AF	is031e2	0	161.7	24.5	4.000e-02	0	0	0	10	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	43	u	2.730e+02		pmagpy-4.0.0	 1.500e-05
is031e2:LP-DIR-AF11	is031e2:LP-DIR-AF	is031e2	0	162.5	24.3	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	44	u	2.730e+02		pmagpy-4.0.0	 1.190e-05
is031e2:LP-DIR-AF12	is031e2:LP-DIR-AF	is031e2	0	161.7	23.4	8.000e-02	0	0	0	12	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	45	u	2.730e+02		pmagpy-4.0.0	 8.042e-06
is031e2:LP-DIR-AF13	is031e2:LP-DIR-AF	is031e2	0	162.7	23.0	1.000e-01	0	0	0	13	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	46	u	2.730e+02		pmagpy-4.0.0	 6.628e-06
is031e2:LP-DIR-AF14	is031e2:LP-DIR-AF	is031e2	0	162.6	21.9	1.200e-01	0	0	0	14	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	47	u	2.730e+02		pmagpy-4.0.0	 5.566e-06
is031e2:LP-DIR-AF15	is031e2:LP-DIR-AF	is031e2	0	163.8	21.3	1.500e-01	0	0	0	15	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	48	u	2.730e+02		pmagpy-4.0.0	 4.213e-06
is031f1:LP-DIR-AF0	is031f1:LP-DIR-AF	is031f1	1	169.4	-1.4	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	49	u	2.730e+02		pmagpy-4.0.0	 4.116e-05
is031f1:LP-DIR-AF1	is031f1:LP-DIR-AF	is031f1	1	170.0	-2.0	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	50	u	2.730e+02		pmagpy-4.0.0	 4.008e-05
is031f1:LP-DIR-AF2	is031f1:LP-DIR-AF	is031f1	1	168.9	-2.4	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	51	u	2.730e+02		pmagpy-4.0.0	 3.812e-05
is031f1:LP-DIR-AF3	is031f1:LP-DIR-AF	is031f1	1	168.9	-2.5	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	52	u	2.730e+02		pmagpy-4.0.0	 3.624e-05
is031f1:LP-DIR-AF4	is031f1:LP-DIR-AF	is031f1	1	169.2	-2.7	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	53	u	2.730e+02		pmagpy-4.0.0	 3.459e-05
is031f1:LP-DIR-AF5	is031f1:LP-DIR-AF	is031f1	1	168.3	-2.6	1.250e-02	0	0	0	5	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	54	u	2.730e+02		pmagpy-4.0.0	 3.299e-05
is031f1:LP-DIR-AF6	is031f1:LP-DIR-AF	is031f1	1	168.4	-2.7	1.500e-02	0	0	0	6	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	55	u	2.730e+02		pmagpy-4.0.0	 3.154e-05
