tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_flag	measurement_lab_field_dc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_dc_field	treatment_temp
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		5.685e+00	1	u	273	0.000e+00	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-2.295e+00	2	u	273	-3.000e-02	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-9.188e+00	3	u	273	-6.000e-02	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-1.458e+01	4	u	273	-9.060e-02	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-1.863e+01	5	u	273	-1.205e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-2.164e+01	6	u	273	-1.505e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-2.404e+01	7	u	273	-1.804e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-2.589e+01	8	u	273	-2.103e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-2.742e+01	9	u	273	-2.402e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-2.872e+01	10	u	273	-2.707e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-2.983e+01	11	u	273	-3.006e-01	273
