tab	measurements
analysts	citation	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	method_codes	number	quality	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp	measurement
	This study	This study		    2.1	203.3	 41.9 	PI47-1a:LP-DIR-T	hargrave 2015-09-16 18:20:04	9.06e-08	8.88e-10	2.81e-09	1.79e-09	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	273	PI47-1a:LP-DIR-T1
	This study	This study		    1.4	201.2	 41.9 	PI47-1a:LP-DIR-T	hargrave 2015-09-19 18:28:49	9.00e-08	1.18e-09	6.94e-10	1.82e-09	8	273	LT-T-Z:LP-DIR-T	2	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  323.0	PI47-1a:LP-DIR-T2
	This study	This study		    0.7	203.4	 42.0 	PI47-1a:LP-DIR-T	hargrave 2015-09-21 22:10:27	8.88e-08	6.42e-10	8.78e-10	1.21e-09	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  348.0	PI47-1a:LP-DIR-T3
	This study	This study		    0.9	203.6	 40.9 	PI47-1a:LP-DIR-T	hargrave 2015-09-24 09:44:17	8.61e-08	5.32e-10	1.11e-09	1.28e-09	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  373.0	PI47-1a:LP-DIR-T4
	This study	This study		    1.4	203.0	 39.7 	PI47-1a:LP-DIR-T	hargrave 2015-09-24 15:41:04	8.19e-08	8.28e-10	1.48e-09	1.46e-09	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  398.0	PI47-1a:LP-DIR-T5
	This study	This study		    1.3	206.0	 37.1 	PI47-1a:LP-DIR-T	hargrave 2015-09-25 12:24:04	7.78e-08	5.49e-10	1.04e-09	1.50e-09	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  423.0	PI47-1a:LP-DIR-T6
	This study	This study		    2.9	205.6	 35.3 	PI47-1a:LP-DIR-T	hargrave 2015-09-26 13:44:45	7.32e-08	1.72e-09	3.17e-09	1.44e-09	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  448.0	PI47-1a:LP-DIR-T7
	This study	This study		    1.3	208.6	 35.0 	PI47-1a:LP-DIR-T	hargrave 2015-09-26 19:45:54	7.21e-08	1.15e-09	1.12e-09	1.12e-09	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  473.0	PI47-1a:LP-DIR-T8
	This study	This study		    1.7	210.7	 34.5 	PI47-1a:LP-DIR-T	hargrave 2015-09-28 19:36:54	6.96e-08	9.62e-10	1.39e-09	1.45e-09	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  498.0	PI47-1a:LP-DIR-T9
	This study	This study		    1.3	207.6	 34.5 	PI47-1a:LP-DIR-T	hargrave 2015-10-01 11:55:36	6.93e-08	5.14e-10	7.40e-10	1.56e-09	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  523.0	PI47-1a:LP-DIR-T10
	This study	This study		    1.8	208.0	 34.4 	PI47-1a:LP-DIR-T	hargrave 2015-10-05 18:47:53	6.74e-08	6.64e-10	1.37e-09	1.66e-09	8	273	LT-T-Z:LP-DIR-T	11	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  548.0	PI47-1a:LP-DIR-T11
	This study	This study		    1.1	208.1	 34.1 	PI47-1a:LP-DIR-T	hargrave 2015-10-06 02:23:03	6.45e-08	4.03e-10	4.30e-10	1.41e-09	8	273	LT-T-Z:LP-DIR-T	12	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  573.0	PI47-1a:LP-DIR-T12
