tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	hyst_charging_mode	hyst_loop	hyst_sweep_rate	instrument_codes	magn_mass	magn_moment	magn_r2_det	magn_volume	magn_x_sigma	magn_xyz_sigma	magn_y_sigma	magn_z_sigma	meas_field_ac	meas_field_dc	meas_freq	meas_n_orient	meas_orient_phi	meas_orient_theta	meas_pos_x	meas_pos_y	meas_pos_z	meas_temp	meas_temp_change	measurement	method_codes	quality	software_packages	specimen	standard	susc_chi_mass	susc_chi_qdr_mass	susc_chi_qdr_volume	susc_chi_volume	timestamp	treat_ac_field	treat_ac_field_dc_off	treat_ac_field_dc_on	treat_ac_field_decay_rate	treat_dc_field	treat_dc_field_ac_off	treat_dc_field_ac_on	treat_dc_field_decay_rate	treat_dc_field_phi	treat_dc_field_theta	treat_mw_energy	treat_mw_integral	treat_mw_power	treat_mw_time	treat_step_num	treat_temp	treat_temp_dc_off	treat_temp_dc_on	treat_temp_decay_rate
	This study			311.6	83.7	s2s0-01-LP-TRM				HUJI-2G : SIO-FLO		0.000000185										1						273		s2s0-01-LP-TRM-1	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-01	u						0				0.00004				0	0					1	703			
	This study			306.7	83.7	s2s0-01-LP-TRM				HUJI-2G : SIO-FLO		0.000000347										1						273		s2s0-01-LP-TRM-2	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-01	u						0				0.00008				0	0					2	703			
	This study			311	83.7	s2s0-01-LP-TRM				HUJI-2G : SIO-FLO		0.000000267										1						273		s2s0-01-LP-TRM-3	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-01	u						0				0.00006				0	0					3	703			
	This study			311.7	83.7	s2s0-01-LP-TRM				HUJI-2G : SIO-FLO		0.0000000944										1						273		s2s0-01-LP-TRM-4	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-01	u						0				0.00002				0	0					4	703			
	This study			312.5	83.9	s2s0-01-LP-TRM				HUJI-2G : SIO-FLO		0.000000307										1						273		s2s0-01-LP-TRM-5	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-01	u						0				0.00007				0	0					5	703			
	This study			304.7	83.8	s2s0-01-LP-TRM				HUJI-2G : SIO-FLO		0.000000383										1						273		s2s0-01-LP-TRM-6	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-01	u						0				0.00009				0	0					6	703			
	This study			311.6	83.5	s2s0-01-LP-TRM				HUJI-2G : SIO-FLO		0.000000182										1						273		s2s0-01-LP-TRM-7	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-01	u						0				0.00004				0	0					7	703			
	This study			53.7	-88.2	s2s0-02-LP-TRM				HUJI-2G : SIO-FLO		0.000000362										1						273		s2s0-02-LP-TRM-1	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-02	u						0				0.00004				0	0					1	703			
	This study			47.3	-87.7	s2s0-02-LP-TRM				HUJI-2G : SIO-FLO		0.000000635										1						273		s2s0-02-LP-TRM-2	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-02	u						0				0.00008				0	0					2	703			
	This study			48.8	-87.8	s2s0-02-LP-TRM				HUJI-2G : SIO-FLO		0.000000494										1						273		s2s0-02-LP-TRM-3	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-02	u						0				0.00006				0	0					3	703			
	This study			92	-87.4	s2s0-02-LP-TRM				HUJI-2G : SIO-FLO		0.000000178										1						273		s2s0-02-LP-TRM-4	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-02	u						0				0.00002				0	0					4	703			
	This study			51.7	-87.6	s2s0-02-LP-TRM				HUJI-2G : SIO-FLO		0.000000563										1						273		s2s0-02-LP-TRM-5	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-02	u						0				0.00007				0	0					5	703			
	This study			45.4	-87.2	s2s0-02-LP-TRM				HUJI-2G : SIO-FLO		0.000000694										1						273		s2s0-02-LP-TRM-6	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-02	u						0				0.00009				0	0					6	703			
	This study			67.8	-87.8	s2s0-02-LP-TRM				HUJI-2G : SIO-FLO		0.000000343										1						273		s2s0-02-LP-TRM-7	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-02	u						0				0.00004				0	0					7	703			
	This study			336.9	89.2	s2s0-03-LP-TRM				HUJI-2G : SIO-FLO		0.000000268										1						273		s2s0-03-LP-TRM-1	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-03	u						0				0.00004				0	0					1	703			
	This study			327.8	89.8	s2s0-03-LP-TRM				HUJI-2G : SIO-FLO		0.00000047										1						273		s2s0-03-LP-TRM-2	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-03	u						0				0.00008				0	0					2	703			
	This study			356.7	89.4	s2s0-03-LP-TRM				HUJI-2G : SIO-FLO		0.000000369										1						273		s2s0-03-LP-TRM-3	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-03	u						0				0.00006				0	0					3	703			
	This study			262.2	88.9	s2s0-03-LP-TRM				HUJI-2G : SIO-FLO		0.000000137										1						273		s2s0-03-LP-TRM-4	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-03	u						0				0.00002				0	0					4	703			
	This study			333.9	89	s2s0-03-LP-TRM				HUJI-2G : SIO-FLO		0.00000042										1						273		s2s0-03-LP-TRM-5	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-03	u						0				0.00007				0	0					5	703			
	This study			350.3	89	s2s0-03-LP-TRM				HUJI-2G : SIO-FLO		0.000000513										1						273		s2s0-03-LP-TRM-6	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-03	u						0				0.00009				0	0					6	703			
	This study			336.8	89.1	s2s0-03-LP-TRM				HUJI-2G : SIO-FLO		0.000000259										1						273		s2s0-03-LP-TRM-7	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-03	u						0				0.00004				0	0					7	703			
	This study			145.3	-83.6	s2s0-04-LP-TRM				HUJI-2G : SIO-FLO		0.000000319										1						273		s2s0-04-LP-TRM-1	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-04	u						0				0.00004				0	0					1	703			
	This study			144	-84.4	s2s0-04-LP-TRM				HUJI-2G : SIO-FLO		0.000000579										1						273		s2s0-04-LP-TRM-2	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-04	u						0				0.00008				0	0					2	703			
	This study			149.3	-84.2	s2s0-04-LP-TRM				HUJI-2G : SIO-FLO		0.000000452										1						273		s2s0-04-LP-TRM-3	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-04	u						0				0.00006				0	0					3	703			
	This study			148.6	-83.9	s2s0-04-LP-TRM				HUJI-2G : SIO-FLO		0.000000163										1						273		s2s0-04-LP-TRM-4	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-04	u						0				0.00002				0	0					4	703			
	This study			322.2	86	s2s0-04-LP-TRM				HUJI-2G : SIO-FLO		0.000000517										1						273		s2s0-04-LP-TRM-5	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-04	u						0				0.00007				0	0					5	703			
	This study			146.7	-84.5	s2s0-04-LP-TRM				HUJI-2G : SIO-FLO		0.000000634										1						273		s2s0-04-LP-TRM-6	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-04	u						0				0.00009				0	0					6	703			
	This study			150.4	-83.9	s2s0-04-LP-TRM				HUJI-2G : SIO-FLO		0.000000314										1						273		s2s0-04-LP-TRM-7	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-04	u						0				0.00004				0	0					7	703			
	This study			332.9	83.4	s2s0-05-LP-TRM				HUJI-2G : SIO-FLO		0.000000356										1						273		s2s0-05-LP-TRM-1	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-05	u						0				0.00004				0	0					1	703			
	This study			328.2	84.2	s2s0-05-LP-TRM				HUJI-2G : SIO-FLO		0.000000634										1						273		s2s0-05-LP-TRM-2	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-05	u						0				0.00008				0	0					2	703			
	This study			328.9	84.1	s2s0-05-LP-TRM				HUJI-2G : SIO-FLO		0.000000497										1						273		s2s0-05-LP-TRM-3	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-05	u						0				0.00006				0	0					3	703			
	This study			336.4	84.5	s2s0-05-LP-TRM				HUJI-2G : SIO-FLO		0.000000181										1						273		s2s0-05-LP-TRM-4	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-05	u						0				0.00002				0	0					4	703			
	This study			153.2	-82.7	s2s0-05-LP-TRM				HUJI-2G : SIO-FLO		0.000000568										1						273		s2s0-05-LP-TRM-5	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-05	u						0				0.00007				0	0					5	703			
	This study			327.5	83.9	s2s0-05-LP-TRM				HUJI-2G : SIO-FLO		0.000000695										1						273		s2s0-05-LP-TRM-6	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-05	u						0				0.00009				0	0					6	703			
	This study			334.5	83.9	s2s0-05-LP-TRM				HUJI-2G : SIO-FLO		0.000000347										1						273		s2s0-05-LP-TRM-7	LT-T-I:LP-TRM	g	pmagpy-2.110	s2s0-05	u						0				0.00004				0	0					7	703			
	This study			194.5	-25.2	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000338										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-1	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0				0	0					1	273			
	This study			194.1	-25.2	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000336										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-2	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0				0	0					2	373			
	This study			192.7	-25.2	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000336										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-3	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0.00004				0	-90					3	373			
	This study			192.2	-24.9	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000332										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-4	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0.00004				0	-90					4	473			
	This study			192.1	-25.4	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000333										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-5	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0				0	0					5	473			
	This study			194.8	-25.5	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000329										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-6	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0				0	0					6	523			
	This study			191.4	-25.5	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000329										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-7	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0.00004				0	-90					7	373			
	This study			190.8	-24.8	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000326										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-8	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0.00004				0	-90					8	523			
	This study			194.2	-22.9	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000301										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-9	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0.00004				0	-90					9	573			
	This study			193.6	-25.3	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000307										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-10	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0				0	0					10	573			
