tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	specimen_class	specimen_lithology	specimen_type	specimen_volume	specimen_weight
This study	U1361A	318-U1361A-001H_2A-0.75	318-U1361A-001H_2A-0.75	318-U1361A-001H_2A-0.75	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_2A-0.8	318-U1361A-001H_2A-0.8	318-U1361A-001H_2A-0.8	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_2A-0.85	318-U1361A-001H_2A-0.85	318-U1361A-001H_2A-0.85	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_2A-0.9	318-U1361A-001H_2A-0.9	318-U1361A-001H_2A-0.9	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_2A-0.95	318-U1361A-001H_2A-0.95	318-U1361A-001H_2A-0.95	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_2A-1	318-U1361A-001H_2A-1	318-U1361A-001H_2A-1	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_2A-1.05	318-U1361A-001H_2A-1.05	318-U1361A-001H_2A-1.05	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_2A-1.1	318-U1361A-001H_2A-1.1	318-U1361A-001H_2A-1.1	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_2A-1.15	318-U1361A-001H_2A-1.15	318-U1361A-001H_2A-1.15	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_2A-1.2	318-U1361A-001H_2A-1.2	318-U1361A-001H_2A-1.2	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_2A-1.25	318-U1361A-001H_2A-1.25	318-U1361A-001H_2A-1.25	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_2A-1.3	318-U1361A-001H_2A-1.3	318-U1361A-001H_2A-1.3	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_2A-1.35	318-U1361A-001H_2A-1.35	318-U1361A-001H_2A-1.35	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_2A-1.4	318-U1361A-001H_2A-1.4	318-U1361A-001H_2A-1.4	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_2A-1.45	318-U1361A-001H_2A-1.45	318-U1361A-001H_2A-1.45	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.1	318-U1361A-001H_3A-0.1	318-U1361A-001H_3A-0.1	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.15	318-U1361A-001H_3A-0.15	318-U1361A-001H_3A-0.15	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.2	318-U1361A-001H_3A-0.2	318-U1361A-001H_3A-0.2	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.25	318-U1361A-001H_3A-0.25	318-U1361A-001H_3A-0.25	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.3	318-U1361A-001H_3A-0.3	318-U1361A-001H_3A-0.3	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.35	318-U1361A-001H_3A-0.35	318-U1361A-001H_3A-0.35	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.4	318-U1361A-001H_3A-0.4	318-U1361A-001H_3A-0.4	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.45	318-U1361A-001H_3A-0.45	318-U1361A-001H_3A-0.45	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.5	318-U1361A-001H_3A-0.5	318-U1361A-001H_3A-0.5	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.55	318-U1361A-001H_3A-0.55	318-U1361A-001H_3A-0.55	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.6	318-U1361A-001H_3A-0.6	318-U1361A-001H_3A-0.6	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.65	318-U1361A-001H_3A-0.65	318-U1361A-001H_3A-0.65	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.7	318-U1361A-001H_3A-0.7	318-U1361A-001H_3A-0.7	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.75	318-U1361A-001H_3A-0.75	318-U1361A-001H_3A-0.75	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.8	318-U1361A-001H_3A-0.8	318-U1361A-001H_3A-0.8	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.85	318-U1361A-001H_3A-0.85	318-U1361A-001H_3A-0.85	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.9	318-U1361A-001H_3A-0.9	318-U1361A-001H_3A-0.9	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-0.95	318-U1361A-001H_3A-0.95	318-U1361A-001H_3A-0.95	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-1	318-U1361A-001H_3A-1	318-U1361A-001H_3A-1	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-1.05	318-U1361A-001H_3A-1.05	318-U1361A-001H_3A-1.05	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-1.1	318-U1361A-001H_3A-1.1	318-U1361A-001H_3A-1.1	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-1.15	318-U1361A-001H_3A-1.15	318-U1361A-001H_3A-1.15	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-1.2	318-U1361A-001H_3A-1.2	318-U1361A-001H_3A-1.2	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-1.25	318-U1361A-001H_3A-1.25	318-U1361A-001H_3A-1.25	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-1.3	318-U1361A-001H_3A-1.3	318-U1361A-001H_3A-1.3	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-1.35	318-U1361A-001H_3A-1.35	318-U1361A-001H_3A-1.35	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-1.4	318-U1361A-001H_3A-1.4	318-U1361A-001H_3A-1.4	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_3A-1.45	318-U1361A-001H_3A-1.45	318-U1361A-001H_3A-1.45	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.1	318-U1361A-001H_4A-0.1	318-U1361A-001H_4A-0.1	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.15	318-U1361A-001H_4A-0.15	318-U1361A-001H_4A-0.15	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.2	318-U1361A-001H_4A-0.2	318-U1361A-001H_4A-0.2	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.25	318-U1361A-001H_4A-0.25	318-U1361A-001H_4A-0.25	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.3	318-U1361A-001H_4A-0.3	318-U1361A-001H_4A-0.3	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.35	318-U1361A-001H_4A-0.35	318-U1361A-001H_4A-0.35	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.4	318-U1361A-001H_4A-0.4	318-U1361A-001H_4A-0.4	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.45	318-U1361A-001H_4A-0.45	318-U1361A-001H_4A-0.45	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.5	318-U1361A-001H_4A-0.5	318-U1361A-001H_4A-0.5	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.55	318-U1361A-001H_4A-0.55	318-U1361A-001H_4A-0.55	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.6	318-U1361A-001H_4A-0.6	318-U1361A-001H_4A-0.6	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.65	318-U1361A-001H_4A-0.65	318-U1361A-001H_4A-0.65	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.7	318-U1361A-001H_4A-0.7	318-U1361A-001H_4A-0.7	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.75	318-U1361A-001H_4A-0.75	318-U1361A-001H_4A-0.75	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.8	318-U1361A-001H_4A-0.8	318-U1361A-001H_4A-0.8	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.85	318-U1361A-001H_4A-0.85	318-U1361A-001H_4A-0.85	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.9	318-U1361A-001H_4A-0.9	318-U1361A-001H_4A-0.9	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-0.95	318-U1361A-001H_4A-0.95	318-U1361A-001H_4A-0.95	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-1	318-U1361A-001H_4A-1	318-U1361A-001H_4A-1	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-1.05	318-U1361A-001H_4A-1.05	318-U1361A-001H_4A-1.05	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-1.1	318-U1361A-001H_4A-1.1	318-U1361A-001H_4A-1.1	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-1.15	318-U1361A-001H_4A-1.15	318-U1361A-001H_4A-1.15	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-1.2	318-U1361A-001H_4A-1.2	318-U1361A-001H_4A-1.2	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-1.25	318-U1361A-001H_4A-1.25	318-U1361A-001H_4A-1.25	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-1.3	318-U1361A-001H_4A-1.3	318-U1361A-001H_4A-1.3	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-1.35	318-U1361A-001H_4A-1.35	318-U1361A-001H_4A-1.35	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-1.4	318-U1361A-001H_4A-1.4	318-U1361A-001H_4A-1.4	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_4A-1.45	318-U1361A-001H_4A-1.45	318-U1361A-001H_4A-1.45	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.1	318-U1361A-001H_5A-0.1	318-U1361A-001H_5A-0.1	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.15	318-U1361A-001H_5A-0.15	318-U1361A-001H_5A-0.15	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.2	318-U1361A-001H_5A-0.2	318-U1361A-001H_5A-0.2	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.25	318-U1361A-001H_5A-0.25	318-U1361A-001H_5A-0.25	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.3	318-U1361A-001H_5A-0.3	318-U1361A-001H_5A-0.3	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.35	318-U1361A-001H_5A-0.35	318-U1361A-001H_5A-0.35	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.4	318-U1361A-001H_5A-0.4	318-U1361A-001H_5A-0.4	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.45	318-U1361A-001H_5A-0.45	318-U1361A-001H_5A-0.45	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.5	318-U1361A-001H_5A-0.5	318-U1361A-001H_5A-0.5	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.55	318-U1361A-001H_5A-0.55	318-U1361A-001H_5A-0.55	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.6	318-U1361A-001H_5A-0.6	318-U1361A-001H_5A-0.6	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.65	318-U1361A-001H_5A-0.65	318-U1361A-001H_5A-0.65	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.7	318-U1361A-001H_5A-0.7	318-U1361A-001H_5A-0.7	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.75	318-U1361A-001H_5A-0.75	318-U1361A-001H_5A-0.75	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.8	318-U1361A-001H_5A-0.8	318-U1361A-001H_5A-0.8	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.85	318-U1361A-001H_5A-0.85	318-U1361A-001H_5A-0.85	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.9	318-U1361A-001H_5A-0.9	318-U1361A-001H_5A-0.9	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-0.95	318-U1361A-001H_5A-0.95	318-U1361A-001H_5A-0.95	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-1	318-U1361A-001H_5A-1	318-U1361A-001H_5A-1	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-1.05	318-U1361A-001H_5A-1.05	318-U1361A-001H_5A-1.05	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-1.1	318-U1361A-001H_5A-1.1	318-U1361A-001H_5A-1.1	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-1.15	318-U1361A-001H_5A-1.15	318-U1361A-001H_5A-1.15	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-1.2	318-U1361A-001H_5A-1.2	318-U1361A-001H_5A-1.2	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-1.25	318-U1361A-001H_5A-1.25	318-U1361A-001H_5A-1.25	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-1.3	318-U1361A-001H_5A-1.3	318-U1361A-001H_5A-1.3	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-1.35	318-U1361A-001H_5A-1.35	318-U1361A-001H_5A-1.35	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-1.4	318-U1361A-001H_5A-1.4	318-U1361A-001H_5A-1.4	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_5A-1.45	318-U1361A-001H_5A-1.45	318-U1361A-001H_5A-1.45	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.1	318-U1361A-001H_6A-0.1	318-U1361A-001H_6A-0.1	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.15	318-U1361A-001H_6A-0.15	318-U1361A-001H_6A-0.15	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.2	318-U1361A-001H_6A-0.2	318-U1361A-001H_6A-0.2	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.25	318-U1361A-001H_6A-0.25	318-U1361A-001H_6A-0.25	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.3	318-U1361A-001H_6A-0.3	318-U1361A-001H_6A-0.3	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.35	318-U1361A-001H_6A-0.35	318-U1361A-001H_6A-0.35	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.4	318-U1361A-001H_6A-0.4	318-U1361A-001H_6A-0.4	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.45	318-U1361A-001H_6A-0.45	318-U1361A-001H_6A-0.45	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.5	318-U1361A-001H_6A-0.5	318-U1361A-001H_6A-0.5	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.55	318-U1361A-001H_6A-0.55	318-U1361A-001H_6A-0.55	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.6	318-U1361A-001H_6A-0.6	318-U1361A-001H_6A-0.6	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.65	318-U1361A-001H_6A-0.65	318-U1361A-001H_6A-0.65	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.7	318-U1361A-001H_6A-0.7	318-U1361A-001H_6A-0.7	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.75	318-U1361A-001H_6A-0.75	318-U1361A-001H_6A-0.75	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.8	318-U1361A-001H_6A-0.8	318-U1361A-001H_6A-0.8	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.85	318-U1361A-001H_6A-0.85	318-U1361A-001H_6A-0.85	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.9	318-U1361A-001H_6A-0.9	318-U1361A-001H_6A-0.9	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-0.95	318-U1361A-001H_6A-0.95	318-U1361A-001H_6A-0.95	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-1	318-U1361A-001H_6A-1	318-U1361A-001H_6A-1	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-1.05	318-U1361A-001H_6A-1.05	318-U1361A-001H_6A-1.05	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-1.1	318-U1361A-001H_6A-1.1	318-U1361A-001H_6A-1.1	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-1.15	318-U1361A-001H_6A-1.15	318-U1361A-001H_6A-1.15	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-1.2	318-U1361A-001H_6A-1.2	318-U1361A-001H_6A-1.2	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-1.25	318-U1361A-001H_6A-1.25	318-U1361A-001H_6A-1.25	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-1.3	318-U1361A-001H_6A-1.3	318-U1361A-001H_6A-1.3	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-001H_6A-1.35	318-U1361A-001H_6A-1.35	318-U1361A-001H_6A-1.35	Sedimentary	Silty Clay	Sediment Layer		
This study	U1361A	318-U1361A-002H-4-W-114	318-U1361A-002H-4-W-114	318-U1361A-002H-4-W-114	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-002H-4-W-84	318-U1361A-002H-4-W-84	318-U1361A-002H-4-W-84	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-002H-4-W-94	318-U1361A-002H-4-W-94	318-U1361A-002H-4-W-94	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-002H-5-W-10	318-U1361A-002H-5-W-10	318-U1361A-002H-5-W-10	Sedimentary	Silty Clay	Sediment Layer	0.007	0.0073655
This study	U1361A	318-U1361A-002H-5-W-108	318-U1361A-002H-5-W-108	318-U1361A-002H-5-W-108	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-002H-5-W-131	318-U1361A-002H-5-W-131	318-U1361A-002H-5-W-131	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-002H-5-W-25	318-U1361A-002H-5-W-25	318-U1361A-002H-5-W-25	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-002H-5-W-53	318-U1361A-002H-5-W-53	318-U1361A-002H-5-W-53	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-002H-5-W-84	318-U1361A-002H-5-W-84	318-U1361A-002H-5-W-84	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-002H-6-W-11	318-U1361A-002H-6-W-11	318-U1361A-002H-6-W-11	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-002H-6-W-118	318-U1361A-002H-6-W-118	318-U1361A-002H-6-W-118	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-002H-6-W-145	318-U1361A-002H-6-W-145	318-U1361A-002H-6-W-145	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-002H-6-W-40	318-U1361A-002H-6-W-40	318-U1361A-002H-6-W-40	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-002H-6-W-63	318-U1361A-002H-6-W-63	318-U1361A-002H-6-W-63	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-002H-6-W-91	318-U1361A-002H-6-W-91	318-U1361A-002H-6-W-91	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-002H-7-W-34	318-U1361A-002H-7-W-34	318-U1361A-002H-7-W-34	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-003H-2-W-107	318-U1361A-003H-2-W-107	318-U1361A-003H-2-W-107	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-003H-2-W-12	318-U1361A-003H-2-W-12	318-U1361A-003H-2-W-12	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-003H-2-W-129	318-U1361A-003H-2-W-129	318-U1361A-003H-2-W-129	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-003H-2-W-32	318-U1361A-003H-2-W-32	318-U1361A-003H-2-W-32	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-003H-2-W-58	318-U1361A-003H-2-W-58	318-U1361A-003H-2-W-58	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-003H-2-W-80	318-U1361A-003H-2-W-80	318-U1361A-003H-2-W-80	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-003H-3-W-10	318-U1361A-003H-3-W-10	318-U1361A-003H-3-W-10	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-003H-3-W-100	318-U1361A-003H-3-W-100	318-U1361A-003H-3-W-100	Sedimentary	Silty Clay	Sediment Layer	0.007	
This study	U1361A	318-U1361A-003H-3-W-119	318-U1361A-003H-3-W-119	318-U1361A-003H-3-W-119	Sedimentary	Silty Clay	Sediment Layer	0.007	
