tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_n	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b_beta	int_corr	int_corr_anisotropy	int_corr_cooling_rate	int_dang	int_drats	int_f	int_fvds	int_g	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_treat_dc_field	lithologies	magic_method_codes	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
2.13	1.173968	1.819236	0.057769	6.000000	0.344050:0.328649:0.327301:-0.009684:-0.000697:-0.000627	6.000000	0.011113	ATRM				This study	Critical F: 3.1059									hz05a1;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05a		hz05a1
	1.173968	1.819236	0.057769	6.000000	0.344050:0.328649:0.327301:-0.009684:-0.000697:-0.000627		0.011113					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05a1			9.61e-05	0.02	c	0.97	0.95	0.48	2.69	0.89	0.87	0.87	2.31	11	5	43.74	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	803	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05a		hz05a1
0.84	4.222956	4.552863	1.113550	6.000000	0.331962:0.327829:0.340209:-0.001051:0.012687:-0.010832	6.000000	0.007775	ATRM				This study	Critical F: 3.1059									hz05a2;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05a		hz05a2
	4.222956	4.552863	1.113550	6.000000	0.331962:0.327829:0.340209:-0.001051:0.012687:-0.010832		0.007775					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05a2			8.89e-05	0.01	c	1.03	0.97	0.83	1.33	0.89	0.82	0.87	2.19	10	5	76.53	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	473	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05a		hz05a2
0.58	3.586323	3.979692	0.876838	6.000000	0.330940:0.332237:0.336823:0.013169:-0.006450:-0.009857	6.000000	0.008471	ATRM				This study	Critical F: 3.1059									hz05a3;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05a		hz05a3
	3.586323	3.979692	0.876838	6.000000	0.330940:0.332237:0.336823:0.013169:-0.006450:-0.009857		0.008471					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05a3			8.62e-05	0.02	c	1.05	0.97	0.82	0.40	0.83	0.79	0.83	1.37	9	6	34.44	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	573	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05a		hz05a3
1.13	4.170097	0.896360	4.839868	6.000000	0.335358:0.323140:0.341502:-0.019860:-0.006705:0.001870	6.000000	0.010086	ATRM				This study	Critical F: 3.1059									hz05b1;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05b		hz05b1
	4.170097	0.896360	4.839868	6.000000	0.335358:0.323140:0.341502:-0.019860:-0.006705:0.001870		0.010086					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05b1			7.90e-05	0.03	c	1.00	0.97	0.69	3.17	0.81	0.83	0.89	1.42	12	6	26.21	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	423	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05b		hz05b1
2.51	12.090165	7.740638	7.372910	6.000000	0.313500:0.340034:0.346466:0.001776:-0.013998:0.013753	6.000000	0.006775	ATRM				This study	Critical F: 3.1059									hz05b2;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05b		hz05b2
	12.090165	7.740638	7.372910	6.000000	0.313500:0.340034:0.346466:0.001776:-0.013998:0.013753		0.006775					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05b2			7.59e-05	0.03	c	1.04	0.97	2.04	1.42	0.86	0.95	0.90	3.50	13	6	29.68	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05b		hz05b2
