tab 	er_sites
er_citation_names	er_location_name	er_site_name	site_class	site_definition	site_description	site_lat	site_lithology	site_lon	site_type
This study	McMurdo	mc01	Igneous : Extrusive	s	Trachyte flow, N flank Observation hill, Hut Point Peninsula.	-77.85	Trachyte	166.64	Lava Flow
This study	McMurdo	mc02	Igneous : Extrusive	s	Upper basalt flow, S. flank Crater Hill, Hut Point Peninsula.	-77.85	Basalt	166.69	Lava Flow
This study	McMurdo	mc03	Igneous : Extrusive	s	10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula.	-77.84	Basalt	166.76	Lava Flow
This study	McMurdo	mc04	Igneous : Intrusive	s	Basalt volcanic dike at Fortress Rock, Hut Point Peninsula.	-77.84	Basalt	166.7	Volcanic Dike
This study	McMurdo	mc06	Igneous : Extrusive	s		-77.83	Basalt	166.67	Lava Flow
This study	McMurdo	mc07	Igneous : Extrusive	s		-77.8	Basalt	166.72	Lava Flow
This study	McMurdo	mc08	Igneous : Extrusive	s	Basalt flow at Breached Cone, Hut Point Peninsula.	-77.8	Basalt	166.83	Lava Flow
This study	McMurdo	mc09	Igneous : Extrusive	s	Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus.	-77.55	Trachyte	166.2	Lava Flow
This study	McMurdo	mc100	Igneous : Extrusive	s		-78.302	Basalt	162.9	Lava Flow
This study	McMurdo	mc101	Igneous : Extrusive	s		-78.306	Basalt	162.928	Lava Flow
This study	McMurdo	mc102	Igneous : Extrusive	s		-78.235	Basalt	163.352	Lava Flow
This study	McMurdo	mc103	Igneous : Extrusive	s		-78.235	Basalt	163.36	Lava Flow
This study	McMurdo	mc104	Igneous : Extrusive	s		-78.238	Basalt	163.401	Lava Flow
This study	McMurdo	mc105	Igneous : Extrusive	s		-78.245	Basalt	163.231	Lava Flow
This study	McMurdo	mc106	Igneous : Extrusive	s		-78.21	Basalt	163.308	Lava Flow
This study	McMurdo	mc107	Igneous : Extrusive	s		-78.204	Basalt	163.347	Lava Flow
This study	McMurdo	mc108	Igneous : Extrusive	s		-78.247	Basalt	163.323	Lava Flow
This study	McMurdo	mc109	Igneous : Extrusive	s		-78.282	Basalt	163.544	Lava Flow
This study	McMurdo	mc10	Igneous : Extrusive	s		-77.57	Basalt	166.23	Lava Flow
This study	McMurdo	mc110	Igneous : Extrusive	s		-78.238	Basalt	163.443	Lava Flow
This study	McMurdo	mc111	Igneous : Extrusive	s		-78.224	Basalt	162.787	Lava Flow
This study	McMurdo	mc112	Igneous : Extrusive	s		-78.238	Basalt	163.441	Lava Flow
This study	McMurdo	mc113	Igneous : Extrusive	s		-78.226	Basalt	162.735	Lava Flow
This study	McMurdo	mc114	Igneous : Extrusive	s		-78.224	Basalt	162.783	Lava Flow
This study	McMurdo	mc115	Igneous : Extrusive	s		-78.243	Basalt	162.958	Lava Flow
This study	McMurdo	mc116	Igneous : Extrusive	s		-78.222	Basalt	162.744	Lava Flow
This study	McMurdo	mc117	Igneous : Extrusive	s		-78.235	Basalt	162.973	Lava Flow
This study	McMurdo	mc118	Igneous : Extrusive	s		-78.241	Basalt	163.141	Lava Flow
This study	McMurdo	mc119	Igneous : Extrusive	s		-78.239	Basalt	162.957	Lava Flow
This study	McMurdo	mc11	Igneous : Extrusive	s		-77.57	Basalt	166.23	Lava Flow
This study	McMurdo	mc120	Igneous : Extrusive	s		-78.241	Basalt	163.092	Lava Flow
This study	McMurdo	mc121	Igneous : Extrusive	s		-78.235	Basalt	162.954	Lava Flow
This study	McMurdo	mc122	Igneous : Extrusive	s		-78.187	Basalt	163.58	Lava Flow
This study	McMurdo	mc123	Igneous : Extrusive	s		-78.254	Basalt	163.729	Lava Flow
This study	McMurdo	mc124	Igneous : Extrusive	s		-78.186	Basalt	163.567	Lava Flow
This study	McMurdo	mc125	Igneous : Intrusive	s		-78.254	Basalt	163.73	Volcanic Dike
This study	McMurdo	mc126	Igneous : Extrusive	s		-78.253	Basalt	163.737	Lava Flow
This study	McMurdo	mc127	Igneous : Extrusive	s		-78.254	Basalt	163.733	Lava Flow
This study	McMurdo	mc128	Igneous : Extrusive	s		-78.21	Basalt	166.571	Lava Flow
This study	McMurdo	mc129	Igneous : Intrusive	s		-78.214	Basalt	166.577	Volcanic Dike
This study	McMurdo	mc12	Igneous : Extrusive	s		-77.58	Basalt	166.23	Lava Flow
This study	McMurdo	mc130	Igneous : Extrusive	s		-78.21	Basalt	166.579	Lava Flow
This study	McMurdo	mc131	Igneous : Extrusive	s		-78.214	Basalt	166.573	Lava Flow
This study	McMurdo	mc132	Igneous : Extrusive	s		-78.206	Basalt	166.552	Lava Flow
This study	McMurdo	mc133	Igneous : Extrusive	s		-78.199	Trachyte	166.584	Lava Flow
This study	McMurdo	mc134	Igneous : Extrusive	s		-78.219	Basalt	166.607	Lava Flow
This study	McMurdo	mc135	Igneous : Extrusive	s		-78.231	Basalt	166.565	Lava Flow
This study	McMurdo	mc136	Igneous : Extrusive	s		-78.282	Basalt	163.329	Lava Flow
This study	McMurdo	mc137	Igneous : Extrusive	s		-78.261	Basalt	163.257	Lava Flow
This study	McMurdo	mc138	Igneous : Extrusive	s		-78.26	Basalt	163.24	Lava Flow
This study	McMurdo	mc139	Igneous : Extrusive	s		-78.26	Basalt	163.08	Lava Flow
