  351.2    31.7 40498.94
  349.3    31.4 14040.59
    7.6    18.0 17937.32
  337.7    21.9 17290.56
    2.3    38.7 26742.59
  351.0    42.3 42570.73
    3.0    35.9 47873.10
    5.0    16.5 24100.47
  353.4    37.3 40546.72
  358.5    29.7 30396.21
  350.4     5.7 6076.90
   12.8    30.8 25502.99
  346.3    47.9 39281.70
  357.0    41.5 25668.19
   15.5    37.3 17339.81
   22.6    26.7 20930.68
  305.2    50.6 20116.45
   12.6    34.8 29207.64
   41.3    29.7 31102.13
   20.8    39.5 40508.84
    4.1    40.9 30250.95
  354.0    28.4 12891.18
   12.5    42.3 22062.70
   29.7    36.3 10843.86
   18.7    19.6 16303.63
  355.8    31.6 39427.90
    2.0    53.1 46835.02
   18.8    37.5 36874.08
  348.6    33.4 29759.15
   16.6    34.6 37630.54
    5.1    57.1 30397.38
    5.5    47.5 28434.73
   12.7    40.9 29939.68
   17.9    22.9 26284.64
  348.9    28.1 28502.78
   13.9    39.1 36897.66
  324.0    44.9 30826.23
   37.9    45.7 13389.13
   38.8    11.2 9974.16
  353.7    47.4 45707.56
  349.4    10.9 13399.36
  347.9    40.0 30376.80
   10.2    33.9 28654.42
  332.0    34.3 26627.40
  355.4    33.5 29947.33
  356.4    34.9 36363.01
    1.4    31.6 23867.39
  345.8    39.7 19188.60
  334.2    49.4 28305.77
  325.4    31.3 18354.80
   48.3    34.4 18278.32
   19.1    37.2 35744.85
   23.6    24.3 20993.93
   14.4    41.0 62632.96
  308.0    57.3 28621.29
    0.0    54.9 12446.49
   19.0    50.4 36355.26
  351.5    29.6 30951.51
  359.8    40.2 44212.02
   20.1    36.6 34626.71
  354.1    45.1 27667.61
   20.8    35.2 40175.48
   13.1    26.5 21214.19
   20.6    29.2 38690.51
  345.6    37.4 31063.41
  350.5    26.5 22686.01
   30.6    35.9 37927.16
   15.7    48.6 24925.45
  353.3    37.7 56251.93
  352.5    29.9 24948.46
    9.2    34.8 24343.53
  357.2    31.3 20670.91
    9.1    30.9 39228.45
  340.6    31.3 33861.25
   15.9    36.7 34124.39
  354.5    24.9 26385.60
   39.6    52.4 21903.50
  351.2    39.5 31523.42
   13.8    43.3 53570.21
  359.0    35.9 25914.38
  343.0    24.1 20762.98
   18.8    38.9 24541.09
  359.4    44.4 49789.17
  338.5    42.6 36922.69
  356.9    47.7 33617.26
    5.5    22.0 19621.12
    6.3    39.6 48095.94
   28.2    30.3 35305.43
    2.9     8.7 6813.39
   10.3    20.4 14793.29
  351.9    22.2 22915.07
  348.4    36.6 36805.38
   23.6    23.5 22606.40
  359.6    44.3 37259.07
  351.5    28.9 22956.02
  348.8    40.8 37804.24
