tab 	specimens
aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	citations	dir_alpha95	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	instrument_codes	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen	specimen_alternatives	volume
						This study																		XXX-UTESTA-001H_1A-0		XXX-UTESTA-001H_1A-0	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-10		XXX-UTESTA-001H_1A-10	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-100		XXX-UTESTA-001H_1A-100	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-105		XXX-UTESTA-001H_1A-105	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-110		XXX-UTESTA-001H_1A-110	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-115		XXX-UTESTA-001H_1A-115	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-120		XXX-UTESTA-001H_1A-120	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-125		XXX-UTESTA-001H_1A-125	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-130		XXX-UTESTA-001H_1A-130	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-135		XXX-UTESTA-001H_1A-135	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-140		XXX-UTESTA-001H_1A-140	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-145		XXX-UTESTA-001H_1A-145	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-15		XXX-UTESTA-001H_1A-15	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-150		XXX-UTESTA-001H_1A-150	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-20		XXX-UTESTA-001H_1A-20	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-25		XXX-UTESTA-001H_1A-25	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-30		XXX-UTESTA-001H_1A-30	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-35		XXX-UTESTA-001H_1A-35	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-40		XXX-UTESTA-001H_1A-40	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-45		XXX-UTESTA-001H_1A-45	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-5		XXX-UTESTA-001H_1A-5	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-50		XXX-UTESTA-001H_1A-50	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-55		XXX-UTESTA-001H_1A-55	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-60		XXX-UTESTA-001H_1A-60	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-65		XXX-UTESTA-001H_1A-65	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-70		XXX-UTESTA-001H_1A-70	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-75		XXX-UTESTA-001H_1A-75	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-80		XXX-UTESTA-001H_1A-80	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-85		XXX-UTESTA-001H_1A-85	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-90		XXX-UTESTA-001H_1A-90	SHLF6601351	
						This study																		XXX-UTESTA-001H_1A-95		XXX-UTESTA-001H_1A-95	SHLF6601351	
